"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Plppr4",NA,"grey",0,NA
"2","Ssu72","Ssu72","turquoise",1,3492
"3","Zbtb34","Zbtb34","blue",2,1128
"4","Mindy2","Mindy2","brown",3,696
"5","Tmsb10","Tmsb10","yellow",4,671
"6","Slc6a5","Slc6a5","green",5,635
"7","Atp6v1a","Atp6v1a","red",6,608
"8","Slc33a1","Slc33a1","black",7,559
"9","Mobp","Mobp","pink",8,465
"10","Dmtn","Dmtn","magenta",9,375
"11","FAM222B","FAM222B","purple",10,305
"12","Cntn1","Cntn1","greenyellow",11,273
"13","Tada3","Tada3","tan",12,254
"14","Rtn4","Rtn4","salmon",13,237
"15","CABCOCO1_like","CABCOCO1_like","cyan",14,194
"16","Slc4a5","Enpp2","midnightblue",15,189
"17","Myo6","Myo6","lightcyan",16,157
"18","Znf236","Znf236","grey60",17,133
"19","G14318","G14318","lightgreen",18,132
"20","RPL27A_containing_G5064","RPL27A_containing_G5064","lightyellow",19,120
"21","Mapk8ip3","Mapk8ip3","royalblue",20,119
"22","Leng8","Leng8","darkred",21,115
"23","Akirin2","Akirin2","darkgreen",22,114
"24","Cdyl2","Cdyl2","darkturquoise",23,105
"25","Dmtf1","Dmtf1","darkgrey",24,86
"26","Cul9","Cul9","orange",25,86
"27","Gnb5","Gnb5","darkorange",26,82
"28","Col1a2","Col1a2","white",27,68
