"","gene","n","module_n","module_color"
"1","AACSP1_containing",138,2,"blue"
"2","Aar2",6,1,"turquoise"
"3","Aars",4,1,"turquoise"
"4","Aarsd1",11,1,"turquoise"
"5","Abat",17,5,"green"
"6","Abca1",46,8,"pink"
"7","Abcb10",5,2,"blue"
"8","Abcc5",56,2,"blue"
"9","Abcd2",19,1,"turquoise"
"10","Abcd3",202,1,"turquoise"
"11","Abcg1",78,2,"blue"
"12","ABCG2_like_gene20024",3,1,"turquoise"
"13","Abcg4",4,14,"cyan"
"14","Abhd12b",9,3,"brown"
"15","Abhd16a",9,1,"turquoise"
"16","Abhd4",78,5,"green"
"17","Abhd8",3,30,"steelblue"
"18","Abi1",27,23,"darkturquoise"
"19","Abi2",8,0,"grey"
"20","Abl1",32,2,"blue"
"21","ABR",60,3,"brown"
"22","Abtb2",10,29,"saddlebrown"
"23","Acaa2",9,1,"turquoise"
"24","Acad11",148,1,"turquoise"
"25","Acad9",3,1,"turquoise"
"26","Acadl",120,6,"red"
"27","Acadm",7,4,"yellow"
"28","Acap3",10,3,"brown"
"29","Acat1",25,5,"green"
"30","Acer2",13,2,"blue"
"31","ACER3_containing",5,4,"yellow"
"32","Ache",11,5,"green"
"33","Acin1",14,2,"blue"
"34","Ackr3",31,2,"blue"
"35","Acly",19,29,"saddlebrown"
"36","Aco2",35,8,"pink"
"37","Acp1",37,1,"turquoise"
"38","Acsbg1",3,8,"pink"
"39","Acsl3",20,1,"turquoise"
"40","Acsl6",6,6,"red"
"41","Acss2",4,29,"saddlebrown"
"42","Actb",15,1,"turquoise"
"43","Actn1",118,3,"brown"
"44","Actn2",65,3,"brown"
"45","Actn4",74,2,"blue"
"46","Actr10",230,1,"turquoise"
"47","Actr3",28,3,"brown"
"48","Acvr1b",7,3,"brown"
"49","Acvr2a",72,3,"brown"
"50","ACVR2B_G18537",201,2,"blue"
"51","Acyp1",6,1,"turquoise"
"52","Adam23",10,5,"green"
"53","Adam9",1,5,"green"
"54","Adamts4",10,5,"green"
"55","Adar",1,7,"black"
"56","Adcy1",74,3,"brown"
"57","Adcy3",14,3,"brown"
"58","Adcy5",4,2,"blue"
"59","Adcy6",115,2,"blue"
"60","Adcyap1r1",49,1,"turquoise"
"61","Add1",4,18,"lightgreen"
"62","Add2",23,3,"brown"
"63","Add3",13,4,"yellow"
"64","Adgrb1",14,0,"grey"
"65","Adgrb2",92,3,"brown"
"66","Adgrb3",34,0,"grey"
"67","Adgrl1",5,3,"brown"
"68","ADH5_like",167,1,"turquoise"
"69","Adh7",8,1,"turquoise"
"70","Adipor1",25,6,"red"
"71","Adirf",3,1,"turquoise"
"72","Adk",17,4,"yellow"
"73","Adnp",3,24,"darkgrey"
"74","Ado",14,3,"brown"
"75","Adora2a",12,3,"brown"
"76","Adprh",6,1,"turquoise"
"77","Adra1d",10,3,"brown"
"78","Adsl",16,6,"red"
"79","AEBP2_like",10,13,"salmon"
"80","Aes",5,30,"steelblue"
"81","Afap1",42,2,"blue"
"82","Afdn",13,2,"blue"
"83","Agap2",220,3,"brown"
"84","AGAP2",59,3,"brown"
"85","AGAP2_like",125,3,"brown"
"86","Agfg2",80,2,"blue"
"87","Agk",4,4,"yellow"
"88","AGO1_like",54,2,"blue"
"89","Ago2",189,2,"blue"
"90","AGO3_gene1944",5,19,"lightyellow"
"91","Ahdc1",8,3,"brown"
"92","Ahi1",13,5,"green"
"93","Ahr",74,2,"blue"
"94","Aifm1",59,1,"turquoise"
"95","Aig1",10,5,"green"
"96","Aimp1",3,1,"turquoise"
"97","Aip",2,1,"turquoise"
"98","Ajap1",20,2,"blue"
"99","AJAP1_containing",87,2,"blue"
"100","AJM1_containing",92,3,"brown"
"101","Ak3",15,1,"turquoise"
"102","Ak5",111,3,"brown"
"103","Akap1",1,24,"darkgrey"
"104","Akap12",50,5,"green"
"105","Akap5",124,3,"brown"
"106","AKAP5",65,3,"brown"
"107","Akip1",8,22,"darkgreen"
"108","Akr1a1",14,1,"turquoise"
"109","Akr1b1",73,1,"turquoise"
"110","Aktip",4,5,"green"
"111","Alas1",1,6,"red"
"112","Alcam",1,11,"greenyellow"
"113","ALDH18A1",30,2,"blue"
"114","Aldh1a1",6,5,"green"
"115","Aldh1l1",4,17,"grey60"
"116","Aldh2",6,1,"turquoise"
"117","Aldh7a1",6,1,"turquoise"
"118","Alg12",42,2,"blue"
"119","Alg14",107,1,"turquoise"
"120","Alg2",53,2,"blue"
"121","Alg5",180,1,"turquoise"
"122","Alkbh7",3,1,"turquoise"
"123","Ambra1",1,7,"black"
"124","Amd1",341,2,"blue"
"125","Amfr",3,1,"turquoise"
"126","Ammecr1",18,1,"turquoise"
"127","Amn1",20,4,"yellow"
"128","Ampd3",26,8,"pink"
"129","Anapc13",93,1,"turquoise"
"130","Anapc16",89,1,"turquoise"
"131","Anapc4",3,4,"yellow"
"132","Angel2",38,2,"blue"
"133","Ank1",17,5,"green"
"134","ANKHD1_gene10482",9,2,"blue"
"135","Ankrd11",39,2,"blue"
"136","ANKRD11_containing_gene26121",9,2,"blue"
"137","Ankrd12",5,16,"lightcyan"
"138","Ankrd13b",26,24,"darkgrey"
"139","Ankrd13c",12,23,"darkturquoise"
"140","Ankrd17",13,2,"blue"
"141","Ankrd27",14,3,"brown"
"142","ANKRD33B_containing",55,3,"brown"
"143","Ankrd34a",83,3,"brown"
"144","Ankrd37",9,2,"blue"
"145","Ankrd45",13,3,"brown"
"146","Ankrd46",31,13,"salmon"
"147","Ankrd49",33,2,"blue"
"148","Ankrd52",48,2,"blue"
"149","ANKRD63_containing",46,3,"brown"
"150","Anks1b",63,3,"brown"
"151","Ano3",31,3,"brown"
"152","Ano6",3,29,"saddlebrown"
"153","Ano8",4,14,"cyan"
"154","Anos1",76,3,"brown"
"155","ANP32E_G5248",6,4,"yellow"
"156","Anxa5",8,1,"turquoise"
"157","Anxa7",21,6,"red"
"158","Ap1ar",24,13,"salmon"
"159","Ap1b1",5,1,"turquoise"
"160","Ap1m1",9,1,"turquoise"
"161","Ap1s1",12,3,"brown"
"162","AP1S2",25,5,"green"
"163","Ap2a1",3,7,"black"
"164","Ap2m1",9,1,"turquoise"
"165","Ap3b1",19,22,"darkgreen"
"166","Ap3b2",2,3,"brown"
"167","Ap3d1",10,7,"black"
"168","Ap3m1",6,10,"purple"
"169","Apba1",4,5,"green"
"170","Apbb1",6,1,"turquoise"
"171","Apc2",3,7,"black"
"172","Apeh",31,1,"turquoise"
"173","Aph1b",105,1,"turquoise"
"174","Aplp1",22,1,"turquoise"
"175","Apoo",4,11,"greenyellow"
"176","Apopt1",38,1,"turquoise"
"177","App",42,0,"grey"
"178","Aptx",23,4,"yellow"
"179","Aqp1",3,0,"grey"
"180","Aqp4",3,1,"turquoise"
"181","Arap2",79,3,"brown"
"182","Arc",195,2,"blue"
"183","Arcn1",13,6,"red"
"184","Arf1",7,18,"lightgreen"
"185","Arf3",141,3,"brown"
