"","gene","n","module_n","module_color"
"1","Aacs_rna21691",9,5,"green"
"2","Aacs_rna21691_alt",3,5,"green"
"3","AACSP1_containing",44,1,"turquoise"
"4","Aak1",2,10,"purple"
"5","Aars",56,2,"blue"
"6","Aarsd1",4,2,"blue"
"7","Aasdh",25,1,"turquoise"
"8","Aatk",7,13,"salmon"
"9","Abca1",8,4,"yellow"
"10","Abca2",7,12,"tan"
"11","ABCA3_like",4,7,"black"
"12","Abcb10",4,1,"turquoise"
"13","Abcb9",6,3,"brown"
"14","Abcc5",77,1,"turquoise"
"15","Abcd1",31,2,"blue"
"16","Abce1",10,5,"green"
"17","Abcg1",40,1,"turquoise"
"18","Abhd17b",6,1,"turquoise"
"19","Abhd2",87,3,"brown"
"20","Abhd3",6,8,"pink"
"21","Abi3bp",7,11,"greenyellow"
"22","Acad10",22,4,"yellow"
"23","Acad11",4,2,"blue"
"24","Acad9",57,3,"brown"
"25","Acadl",18,3,"brown"
"26","Acadvl",4,4,"yellow"
"27","Acap3",19,2,"blue"
"28","Acbd3",12,1,"turquoise"
"29","Acbd5",210,1,"turquoise"
"30","ACBD5_like",3,1,"turquoise"
"31","Acer2",3,1,"turquoise"
"32","Ache",4,9,"magenta"
"33","Ackr3",155,1,"turquoise"
"34","Aco2",50,2,"blue"
"35","Acot7",7,7,"black"
"36","Acp1",28,3,"brown"
"37","Acp6",3,4,"yellow"
"38","Acsl6",7,6,"red"
"39","ACSL6_containing",3,6,"red"
"40","Actb",184,2,"blue"
"41","Actr1a",14,2,"blue"
"42","ACVR2B_G18537",465,1,"turquoise"
"43","Adam15",46,4,"yellow"
"44","Adamts4",4,12,"tan"
"45","Adamts6",24,4,"yellow"
"46","Adamtsl5",25,4,"yellow"
"47","Adar",5,2,"blue"
"48","Adcy2",15,4,"yellow"
"49","Add1",118,2,"blue"
"50","Adgra2",6,16,"lightcyan"
"51","Adgrb1",12,7,"black"
"52","Adgrb3",9,4,"yellow"
"53","Adgrl2",11,8,"pink"
"54","Adgrl3",5,4,"yellow"
"55","Adipor1",5,3,"brown"
"56","Adnp2",5,2,"blue"
"57","Adpgk",42,1,"turquoise"
"58","Adra2a",12,1,"turquoise"
"59","Adsl",9,3,"brown"
"60","Aebp1",4,16,"lightcyan"
"61","Afap1",222,1,"turquoise"
"62","Agfg2",66,1,"turquoise"
"63","AGO1_like",15,1,"turquoise"
"64","Ago2",139,1,"turquoise"
"65","Agpat1",4,2,"blue"
"66","Agpat3",17,2,"blue"
"67","Agrn",20,15,"midnightblue"
"68","Ahi1",6,9,"magenta"
"69","Ahr",65,1,"turquoise"
"70","Ahsa1",3,14,"cyan"
"71","Ahsa2",3,17,"grey60"
"72","Aif1l",3,4,"yellow"
"73","Aifm3",19,4,"yellow"
"74","Aig1",3,4,"yellow"
"75","Aip",3,4,"yellow"
"76","AJM1_containing",11,8,"pink"
"77","Ak2",396,1,"turquoise"
"78","Ak4",11,5,"green"
"79","AK4_containing",16,5,"green"
"80","Akap10",20,1,"turquoise"
"81","Akap8",3,2,"blue"
"82","Akap9",3,3,"brown"
"83","Akirin1",19,5,"green"
"84","Akr1a1",27,2,"blue"
"85","Akt1",11,3,"brown"
"86","Aldh1l1",69,8,"pink"
"87","Aldoa",9,7,"black"
"88","Alg12",29,1,"turquoise"
"89","Alg2",244,1,"turquoise"
"90","Alg5",21,2,"blue"
"91","Alkbh5",6,5,"green"
"92","Alms1",3,1,"turquoise"
"93","Als2cl",147,2,"blue"
"94","Amd1",597,1,"turquoise"
"95","Amdhd2",14,3,"brown"
"96","Amer1",40,1,"turquoise"
"97","Amer3",30,1,"turquoise"
"98","Ammecr1",3,2,"blue"
"99","Ampd3",8,3,"brown"
"100","Anapc1",4,2,"blue"
"101","Anapc11",9,2,"blue"
"102","Anapc4",7,4,"yellow"
"103","Ank1",3,17,"grey60"
"104","Ank3",3,10,"purple"
"105","Ankrd12",23,1,"turquoise"
"106","Ankrd13b",18,1,"turquoise"
"107","Ankrd17",15,1,"turquoise"
"108","Ankrd27",15,1,"turquoise"
"109","Ankrd40",51,18,"lightgreen"
"110","Ankrd44",20,18,"lightgreen"
"111","Ankrd49",45,1,"turquoise"
"112","Ankrd52",223,1,"turquoise"
"113","Anln",4,0,"grey"
"114","Anxa1",3,3,"brown"
"115","Anxa2",5,3,"brown"
"116","Anxa5",50,3,"brown"
"117","Anxa6",15,2,"blue"
"118","Anxa7",59,3,"brown"
"119","Ap1b1",67,2,"blue"
"120","Ap1g1",24,1,"turquoise"
"121","Ap1m1",79,2,"blue"
"122","Ap2a1",18,2,"blue"
"123","Ap2a2",65,2,"blue"
"124","Ap2b1",21,6,"red"
"125","Ap3b2",27,4,"yellow"
"126","Ap3d1",115,2,"blue"
"127","Ap3m1",189,1,"turquoise"
"128","Ap5b1",9,2,"blue"
"129","Ap5z1",5,2,"blue"
"130","Apba3",12,2,"blue"
"131","Apeh",13,4,"yellow"
"132","Apopt1",4,2,"blue"
"133","Arap1",21,4,"yellow"
"134","Arap2",4,18,"lightgreen"
