"","class","rank","dataSetID","dataSetName","inGroups","pValue","Bonferroni","FDR","nCommonGenes","fracOfEffectiveClassSize","expectedFracOfEffectiveClassSize","enrichmentRatio","classSize","effectiveClassSize","fracOfEffectiveSetSize","effectiveSetSize","shortDataSetName","overlapGenes"
"1","0",2,"BioSystems.KEGG.hsa01100","Metabolic pathways (KEGG)","KEGG",5.148110398497e-29,5.92032695827155e-24,7.68873630944358e-26,99,0.0774042220484754,0.0207331583837264,3.73335410919498,1296,1279,0.0778301886792453,1272,"Metabolic pathways","ACACB|ACADVL|AGL|AK1|ALPL|AMPD2|AMT|AMY2B|AOX1|ASL|BCAT2|BHMT|BLVRA|CHKB|DGKA|GALC|GALE|B4GALNT1|GANC|GPT|HMBS|HMGCS1|HPRT1|HSD17B1|NDST1|IDH1|ITPK1|LSS|MGAT1|MTHFD1|MTR|NME3|NME4|PCCA|PCYT1A|PIK3C2B|PI4KA|PLCB2|PLCG2|POLR2I|PPOX|PRODH|PTGDS|SPR|SQLE|UGT8|UPP1|UROS|PLA2G6|NDST2|CDS2|LARGE1|PIGL|PIGK|CEPT1|POLD3|SLC27A5|B4GALT7|AHCYL2|MTHFD1L|GLCE|GBGT1|GMPPA|ALG6|ZNRD1|GALNT9|COQ6|CRYL1|CSAD|SCLY|ATP6V1H|PGM2|MTMR8|AGK|NT5M|ENOPH1|ETNPPL|FKRP|CERS4|ACSS3|GALNT12|PPCS|ALG9|POMK|POLR3GL|NTPCR|POMGNT2|NAPRT|MGAM2|GALNT13|AFMID|B3GALT6|HGSNAT|MGAT5B|FCSK|CERS3|MOGAT3|PLA2G4B|NT5C1B-RDH14"
"2","0",30,"BioSystems.KEGG.hsa04141","Protein processing in endoplasmic reticulum (KEGG)","KEGG",4.70476262685929e-07,0.0541047702088818,4.63068462076008e-05,16,0.0125097732603597,0.00270574236768757,4.62341626082124,1296,1279,0.0963855421686747,166,"Protein processing in endoplasmic reticulum","BAX|CALR|HSPA6|PRKN|EIF2AK2|SEC24D|PDIA6|SEC23B|SEC63|ATF6|HSPBP1|MBTPS2|DNAJB11|UGGT1|DNAJC1|RNF185"
"3","0",32,"BioSystems.KEGG.hsa04010","MAPK signaling pathway (KEGG)","KEGG",5.29265535424889e-07,0.0608655365738623,5.14501577124787e-05,20,0.0156372165754496,0.00415641146843572,3.76219166321728,1296,1279,0.0784313725490196,255,"MAPK signaling pathway","BRAF|CACNA1B|CDC25B|HSPA6|IKBKB|IL1R1|MAPT|PPP3CC|MAPK11|MAPK13|MAP2K5|RAC1|RASGRF1|MAP3K12|RPS6KA4|MAPKAPK2|GADD45G|CACNG5|PTPN5|PLA2G4B"
"4","0",34,"BioSystems.KEGG.hsa03040","Spliceosome (KEGG)","KEGG",9.16183141946764e-07,0.105361061323878,8.44239273428508e-05,14,0.0109460516028147,0.00218415347753093,5.01157620809168,1296,1279,0.104477611940299,134,"Spliceosome","CDC5L|HSPA6|SNRPD1|PRPF4|THOC1|TCERG1|SF3A3|SNW1|LSM4|SYF2|LSM8|PRPF40A|THOC2|LSM2"
"5","0",36,"BioSystems.KEGG.hsa00230","Purine metabolism (KEGG)","KEGG",9.56968812801952e-07,0.110051413472224,8.71349275314525e-05,16,0.0125097732603597,0.00285243924304412,4.38564056740757,1296,1279,0.0914285714285714,175,"Purine metabolism","AK1|AMPD2|ENTPD3|HPRT1|NME3|NME4|PDE1B|POLR2I|POLD3|NUDT5|ZNRD1|PGM2|NT5M|POLR3GL|NTPCR|NT5C1B-RDH14"
"6","0",38,"BioSystems.KEGG.hsa04722","Neurotrophin signaling pathway (KEGG)","KEGG",1.34225204135675e-06,0.154358984756026,0.000117831286073303,13,0.0101641907740422,0.00193965868527,5.24019553090978,1296,1279,0.109243697478992,119,"Neurotrophin signaling pathway","BAX|BRAF|IKBKB|MATK|PLCG2|PRKCD|MAPK11|MAPK13|MAP2K5|PSEN1|RAC1|MAPKAPK2|IRAK3"
"7","0",42,"BioSystems.KEGG.hsa03440","Homologous recombination (KEGG)","KEGG",1.81071830167009e-06,0.20823260469206,0.000154132201844604,8,0.00625488663017983,0.000668285765513195,9.35959877190641,1296,1279,0.195121951219512,41,"Homologous recombination","BARD1|RAD51D|RAD52|RAD50|POLD3|RAD54B|UIMC1|PALB2"
"8","0",44,"BioSystems.KEGG.hsa04110","Cell cycle (KEGG)","KEGG",2.14274076455536e-06,0.246415187923866,0.000179602906650048,13,0.0101641907740422,0.00202115694935698,5.02889732401826,1296,1279,0.104838709677419,124,"Cell cycle","CDC25B|CDK6|CDKN1A|MCM7|ORC2|SMC1A|CDC7|CDC16|SMC3|STAG1|GADD45G|ANAPC4|ANAPC5"
"9","0",49,"BioSystems.KEGG.hsa04144","Endocytosis (KEGG)","KEGG",2.87926671300342e-06,0.331115671995393,0.000233180050700981,19,0.0148553557466771,0.0042379097325227,3.50534973236302,1296,1279,0.0730769230769231,260,"Endocytosis","ARF6|DNM1|F2R|HSPA6|KIT|SH3GL3|CLTCL1|SNX4|DNAJC6|RNF41|EHD1|SH3KBP1|EHD4|ASAP1|VPS36|PARD3|RUFY1|CHMP7|ACAP3"
"10","0",52,"BioSystems.KEGG.hsa03022","Basal transcription factors (KEGG)","KEGG",3.79447197476628e-06,0.436364277098122,0.000296644647925304,8,0.00625488663017983,0.000733484376782775,8.52763443662584,1296,1279,0.177777777777778,45,"Basal transcription factors","TAF2|TAF9|TAF12|TAF15|TAF6L|TAF9B|TAF3|GTF2H5"
