"","topcorgene","module_color","module_n","module_genes","membership"
"1","Casc4","grey",0,NA,0.894180563703608
"2","Prpf40a","grey",0,NA,0.864309894510969
"3","NAMPT_G16421","grey",0,NA,0.834746956467118
"4","CSDE1_G5021","grey",0,NA,0.819294426499163
"5","CUNH6orf163","grey",0,NA,0.814354176093322
"6","Capn7","grey",0,NA,0.808778123153635
"7","G28738","grey",0,NA,0.80863576804705
"8","Ccdc47","grey",0,NA,0.791162103831428
"9","Usp16","grey",0,NA,0.788430645643034
"10","Cep120","grey",0,NA,0.784870150823297
"11","CUNH12orf73","grey",0,NA,0.780834839824504
"12","CUNH11orf58","grey",0,NA,0.777197200668941
"13","Dennd4c","grey",0,NA,0.775268608297991
"14","Ccz1","grey",0,NA,0.773301233428381
"15","Slc6a15","grey",0,NA,0.767554612023566
"16","G32337","grey",0,NA,0.758523310217116
"17","Dnajc18","grey",0,NA,0.752597639633169
"18","Rac1","grey",0,NA,0.750065362897286
"19","Kiaa1468","grey",0,NA,0.747316837750144
"20","Ezh2","grey",0,NA,0.740919694406726
"21","Eya3","turquoise",1,2092,0.963399585578558
"22","G1554","turquoise",1,2092,0.96328983293318
"23","Zbtb34","turquoise",1,2092,0.961122612079068
"24","Mapk14","turquoise",1,2092,0.960823198600615
"25","G40583","turquoise",1,2092,0.958814524188566
"26","Brd3","turquoise",1,2092,0.95778624099036
"27","TNRC6B_containing","turquoise",1,2092,0.956024741573405
"28","Chfr","turquoise",1,2092,0.954062050039939
"29","Bud13","turquoise",1,2092,0.953954898480387
"30","Mex3c","turquoise",1,2092,0.953868603205931
"31","Hdac4","turquoise",1,2092,0.95369812280477
"32","ENSSTOG00000034702","turquoise",1,2092,0.953619008314251
"33","G14950","turquoise",1,2092,0.953551457158474
"34","Gigyf2","turquoise",1,2092,0.952912107820038
"35","Nkiras2","turquoise",1,2092,0.951601626998012
"36","Rnf111","turquoise",1,2092,0.9497590430644
"37","Zc3h10","turquoise",1,2092,0.949612707304087
"38","Runx1t1","turquoise",1,2092,0.949294692319792
"39","Zbtb46","turquoise",1,2092,0.947578321865357
"40","Proser1","turquoise",1,2092,0.947376549638389
"41","Mrps7","blue",2,1768,0.955431038120481
"42","Idh3g","blue",2,1768,0.946857519257076
"43","Trpc4ap","blue",2,1768,0.945514746533496
"44","Rgma","blue",2,1768,0.938347909201106
"45","Tuba8","blue",2,1768,0.93447700930457
"46","Mdh2","blue",2,1768,0.934338714192515
"47","G20435","blue",2,1768,0.931307635745759
"48","Psmb4","blue",2,1768,0.93019257276922
"49","Hmox2","blue",2,1768,0.929930846297725
"50","Faf1","blue",2,1768,0.926806948647665
"51","G30359","blue",2,1768,0.926154679338348
"52","G39662","blue",2,1768,0.925506754396315
"53","Rab5c","blue",2,1768,0.925014068462828
"54","TF","blue",2,1768,0.923640221343482
"55","Capns1","blue",2,1768,0.921880681602493
"56","Gstp1","blue",2,1768,0.919322586740906
"57","Dazap2","blue",2,1768,0.918289118697681
"58","Psmd13","blue",2,1768,0.917714990979005
"59","Resp18","blue",2,1768,0.917475312259519
"60","Bnip3","blue",2,1768,0.917314369349619
"61","Mff","brown",3,1423,0.966665686961522
"62","Atp5o","brown",3,1423,0.959371559712537
"63","Ndufs4","brown",3,1423,0.958362271287884
"64","Actr10","brown",3,1423,0.954540169957752
"65","MORF4L1_gene1122","brown",3,1423,0.952212042644236
"66","Sdhc","brown",3,1423,0.946489784558795
"67","ADH5_like","brown",3,1423,0.945989710557016
"68","Sod1","brown",3,1423,0.945194618958709
"69","Atp5l","brown",3,1423,0.941128539600907
"70","Atp5h","brown",3,1423,0.935315556783843
"71","Rpl9","brown",3,1423,0.934085767876885
"72","Ddx1","brown",3,1423,0.934063425004269
"73","Atp6v1e1","brown",3,1423,0.933583018876453
"74","Cmpk1","brown",3,1423,0.933556258106678
"75","Tmem59","brown",3,1423,0.930103391714843
"76","Kiaa1191","brown",3,1423,0.927915983892601
"77","Ndufv2","brown",3,1423,0.927658007074216
"78","Tmbim6","brown",3,1423,0.926138121817843
"79","Eif3e","brown",3,1423,0.925230483315962
"80","Tut1","brown",3,1423,0.924737489135265
"81","Fbxl16","yellow",4,1335,0.977447544013859
"82","Cacng3","yellow",4,1335,0.970944958937928
"83","Olfm1","yellow",4,1335,0.968731551044937
"84","Rgs14","yellow",4,1335,0.968069533848691
"85","Kcnj4","yellow",4,1335,0.966892467256548
"86","Dgkz","yellow",4,1335,0.966403453705367
"87","Kcnh3","yellow",4,1335,0.963387805386271
"88","Ctxn1","yellow",4,1335,0.962947358040353
"89","Kcnf1","yellow",4,1335,0.962117184249123
"90","Camk2a","yellow",4,1335,0.960715703899616
"91","TMEM271_containing","yellow",4,1335,0.960024978967939
"92","Prkce","yellow",4,1335,0.956741670998405
"93","Dlgap1","yellow",4,1335,0.955795202931284
"94","Agap2","yellow",4,1335,0.954769973627204
"95","Mical2","yellow",4,1335,0.954546673181085
"96","Enc1","yellow",4,1335,0.954516373742161
"97","Nrgn","yellow",4,1335,0.954264663947214
"98","Gria3","yellow",4,1335,0.953966461104102
"99","Nsmf","yellow",4,1335,0.953720612790914
"100","Gria1","yellow",4,1335,0.952962253126212
"101","Lgi3","green",5,713,0.930220831384
"102","Dennd5a","green",5,713,0.916096269651842
"103","GNAS_gene10323","green",5,713,0.909652265342601
"104","Cadps","green",5,713,0.907451681060785
"105","Slc6a9","green",5,713,0.905203784810527
"106","Slc6a11","green",5,713,0.903306502022311
"107","Nova1","green",5,713,0.897720472120117
"108","Gprc5b","green",5,713,0.894364334962893
"109","Ckmt1a","green",5,713,0.892450625264047
"110","Akap12","green",5,713,0.889054340083164
"111","Map4","green",5,713,0.88696212216068
"112","Elovl1","green",5,713,0.883443074620551
"113","Sept4","green",5,713,0.882580298118979
"114","Grik1","green",5,713,0.881381634314975
"115","Smim10","green",5,713,0.878870213027422
"116","Lypd6","green",5,713,0.874217307750004
"117","Cnp","green",5,713,0.873741811494667
"118","Tppp3","green",5,713,0.871593371802085
"119","Slc48a1","green",5,713,0.871528261972061
"120","Mrpl45","green",5,713,0.87076401510539
"121","Senp7","red",6,472,0.926092178094748
"122","Hipk3","red",6,472,0.916009755936313
"123","Carnmt1","red",6,472,0.907653680502303
"124","G2127","red",6,472,0.902461556799364
"125","Coq10b","red",6,472,0.897630858108466
"126","PTAR1_containing","red",6,472,0.897041772522642
"127","SPOPL_like","red",6,472,0.895293009414051
"128","TMTC3_like","red",6,472,0.893285956355481
"129","KBTBD7","red",6,472,0.892968016285598
"130","Znf770","red",6,472,0.892205302798476
"131","Gpatch2","red",6,472,0.8912939724882
"132","Thap5","red",6,472,0.890149499039503
"133","MINDY2_containing","red",6,472,0.889225199718108
"134","Smndc1","red",6,472,0.888672525939597
"135","Pkn2","red",6,472,0.886998598603694
"136","SMAD5_like","red",6,472,0.885461926573956
"137","KATNBL1_containing","red",6,472,0.885433600871104
"138","Edem3","red",6,472,0.884925297295572
"139","Srsf10","red",6,472,0.884184836943055
"140","Snap23","red",6,472,0.88333667567092
"141","Cd63","black",7,444,0.9458458691667
"142","Pgd","black",7,444,0.94270206736887
"143","Zpr1","black",7,444,0.935034183388277
"144","Anxa7","black",7,444,0.918931867555778
"145","Ctsv","black",7,444,0.918768421866645
"146","Hspa9","black",7,444,0.905779638628893
"147","Rtcb","black",7,444,0.896754478045617
"148","Adipor1","black",7,444,0.895492669584779
"149","Slc39a6","black",7,444,0.893198568922306
"150","Eif3b","black",7,444,0.892011920086156
"151","Sash1","black",7,444,0.890471785199813
"152","Dlst","black",7,444,0.889718550564096
"153","P4hb","black",7,444,0.888599891757644
"154","Rbm8a","black",7,444,0.887919050240147
"155","Hadha","black",7,444,0.881948677057014
"156","Cct3","black",7,444,0.880578870835073
"157","Phkg2","black",7,444,0.879949731666699
"158","Rfx4","black",7,444,0.878510574655582
"159","Pmpca","black",7,444,0.877051026201368
"160","Klhl12","black",7,444,0.87613923072152
"161","Hspa13","pink",8,319,0.947254938301476
"162","Bnip3l","pink",8,319,0.94487158404054
"163","Cbx3","pink",8,319,0.944498325017068
"164","Chmp2b","pink",8,319,0.936463229047632
"165","Nipa2","pink",8,319,0.927489090599981
"166","Psma1","pink",8,319,0.919641245251337
"167","Nt5c3a","pink",8,319,0.91961811191968
"168","Clpx","pink",8,319,0.919360337444954
"169","Txnl1","pink",8,319,0.916334175550536
"170","Sdhd","pink",8,319,0.912319938561425
"171","Pdcd10","pink",8,319,0.909479132729838
"172","Vamp4","pink",8,319,0.909048642028061
"173","Psmc6","pink",8,319,0.906446362474926
"174","Glo1","pink",8,319,0.904872424261548
"175","Sptlc1","pink",8,319,0.902184024981014
"176","Fbxo3","pink",8,319,0.900306126800283
"177","NPM1_G37307","pink",8,319,0.896024176211882
"178","Wdfy1","pink",8,319,0.894066432328344
"179","TMED2_gene20912","pink",8,319,0.89338653108323
"180","Rhot1","pink",8,319,0.889062494691119
"181","Pcnx3","magenta",9,286,0.938218898784981
"182","Smpd4","magenta",9,286,0.931725656472372
"183","Rnf31","magenta",9,286,0.887379612937605
"184","Chd8","magenta",9,286,0.876837832670701
"185","Piezo1","magenta",9,286,0.873276160739867
"186","Slc20a1","magenta",9,286,0.871920887440068
"187","Setd5","magenta",9,286,0.871837387083251
"188","Ubap2l","magenta",9,286,0.868246146281176
"189","Ndor1","magenta",9,286,0.867826631394171
"190","Nup153","magenta",9,286,0.860187936164987
"191","Hectd3","magenta",9,286,0.859210983628992
"192","Pomt2","magenta",9,286,0.85764200847475
"193","Slc6a6","magenta",9,286,0.853359819346556
"194","Ube4b","magenta",9,286,0.850268497807505
"195","Pom121c","magenta",9,286,0.848048544784494
"196","Cherp","magenta",9,286,0.846168143385074
"197","Pwp2","magenta",9,286,0.844864715158485
"198","Ythdf1","magenta",9,286,0.840860347329414
"199","Git2","magenta",9,286,0.840636796201527
"200","Asxl1","magenta",9,286,0.839753998081669
"201","Cpm","purple",10,282,0.913584036303991
"202","Smcr8","purple",10,282,0.906102556709363
"203","Serinc5","purple",10,282,0.901754553339705
"204","Crkl","purple",10,282,0.900666402166564
"205","Erbb3","purple",10,282,0.898197460083559
"206","Hnrnpf","purple",10,282,0.897540222993647
"207","Ppif","purple",10,282,0.893150559924552
"208","Wnt9a","purple",10,282,0.889425511738263
"209","Kpnb1","purple",10,282,0.888520583826646
"210","Hif1an","purple",10,282,0.887766528278943
"211","Tbl2","purple",10,282,0.887235065072366
"212","Tcf12","purple",10,282,0.886612116732984
"213","Ppp2r1b","purple",10,282,0.878056718861271
"214","Kctd10","purple",10,282,0.874689620214644
"215","Syde1","purple",10,282,0.869407479231455
"216","Dlg5","purple",10,282,0.869109571304099
"217","CYB561A3_like","purple",10,282,0.866534561337322
"218","Mbtps1","purple",10,282,0.862948268108905
"219","Mfsd14b","purple",10,282,0.861645660171527
"220","Tmem129","purple",10,282,0.860833684524914
"221","Xiap","greenyellow",11,270,0.962849901269853
"222","FAM171B","greenyellow",11,270,0.944807345243419
"223","G2549","greenyellow",11,270,0.940901519276403
"224","G26167","greenyellow",11,270,0.939098609138438
"225","DNAJB14_containing","greenyellow",11,270,0.937937513747327
"226","PNPLA8_containing","greenyellow",11,270,0.934588487746565
"227","HMGB1_G26487","greenyellow",11,270,0.933260268605818
"228","Rnf11","greenyellow",11,270,0.933008057160266
"229","GNG10_gene12688","greenyellow",11,270,0.932063366431309
"230","Eloc","greenyellow",11,270,0.929017043369184
"231","Mtx2","greenyellow",11,270,0.927258862460358
"232","Tmem106b","greenyellow",11,270,0.92693204033331
"233","Scoc","greenyellow",11,270,0.926549230496632
"234","MIGA1_containing","greenyellow",11,270,0.92597540936551
"235","Sumo2","greenyellow",11,270,0.925227176922826
"236","Dcun1d1","greenyellow",11,270,0.922966441471533
"237","LIN7C_like","greenyellow",11,270,0.919999347926324
"238","Ankrd46","greenyellow",11,270,0.919733400385319
"239","TBL1XR1","greenyellow",11,270,0.918535847801667
"240","Ppp1cb","greenyellow",11,270,0.914381102079949
"241","Mapk8ip3","tan",12,256,0.938211276655928
"242","Dctn1","tan",12,256,0.934110461165151
"243","Slc22a17","tan",12,256,0.903500294205576
"244","Grina","tan",12,256,0.8900820498456
"245","Rnf208","tan",12,256,0.883454171001666
"246","Scaf1","tan",12,256,0.879404660400596
"247","Mapre3","tan",12,256,0.878348635154508
"248","Sez6l2","tan",12,256,0.876935705945867
"249","Atp13a2","tan",12,256,0.876375983150077
"250","Klc2","tan",12,256,0.872307244354474
"251","Ap3d1","tan",12,256,0.867360039717121
"252","Rnf123","tan",12,256,0.861463713023833
"253","Shc2","tan",12,256,0.860070740583853
"254","Trim8","tan",12,256,0.853713969676867
"255","Acp2","tan",12,256,0.851120133121895
"256","Pld3","tan",12,256,0.845837119722564
"257","Dtx3","tan",12,256,0.831982773761326
"258","Epn1","tan",12,256,0.830683505316457
"259","Stx1b","tan",12,256,0.829775950321596
"260","Rabl6","tan",12,256,0.82937342277475
"261","NCAM2_containing_gene23294","salmon",13,246,0.929716477557308
"262","Tbc1d5","salmon",13,246,0.907528501246084
"263","Pcdh9","salmon",13,246,0.898568091147389
"264","Kctd4","salmon",13,246,0.894149708004573
"265","Ncam2","salmon",13,246,0.883862329277502
"266","Nrg3","salmon",13,246,0.874574861523092
"267","Ssbp2","salmon",13,246,0.873137225779311
"268","Ppp1r9a","salmon",13,246,0.870206397557532
"269","HCG11_G36502","salmon",13,246,0.870131654489625
"270","Nlgn1","salmon",13,246,0.863254161356935
"271","Wwp1","salmon",13,246,0.859499460139065
"272","Fam98b","salmon",13,246,0.853503335446429
"273","KCNIP4","salmon",13,246,0.850537239336478
"274","Tenm1","salmon",13,246,0.846843527943512
"275","OGA","salmon",13,246,0.842344631958855
"276","Kcnip4","salmon",13,246,0.836183258791259
"277","Mgea5","salmon",13,246,0.831794780881633
"278","Edil3","salmon",13,246,0.825216064239201
"279","Adgrl3","salmon",13,246,0.822288675932694
"280","FSTL5_like_gene23539","salmon",13,246,0.82190922870315
"281","EGFEM1P_containing_gene15217","cyan",14,238,0.904534614832398
"282","G13329","cyan",14,238,0.901289460683899
"283","MIR1915HG_containing","cyan",14,238,0.873757550022946
"284","ZNF56_containing_gene16890","cyan",14,238,0.868688650742627
"285","Dact3","cyan",14,238,0.865405329050937
"286","Spop","cyan",14,238,0.859712718537106
"287","G2760","cyan",14,238,0.858170684608793
"288","TSHZ2_G30132","cyan",14,238,0.856266665253212
"289","Dlg2","cyan",14,238,0.855676950109438
"290","G3092","cyan",14,238,0.855450665167037
"291","Unc13c","cyan",14,238,0.849661056809474
"292","G26032","cyan",14,238,0.848028875630956
"293","Cables1","cyan",14,238,0.846511261351738
"294","G26558","cyan",14,238,0.84450348362587
"295","Pax8","cyan",14,238,0.834670005255369
"296","HNRNPR_containing","cyan",14,238,0.833163146772603
"297","ITSN1_like","cyan",14,238,0.832684224024419
"298","G21909","cyan",14,238,0.826470534533846
"299","Pik3r1","cyan",14,238,0.823519311855524
"300","LOC110596965","cyan",14,238,0.821411633711066
"301","Mtpn","midnightblue",15,215,0.944735005695242
"302","Fam102b","midnightblue",15,215,0.932909024926669
"303","MEF2A","midnightblue",15,215,0.923127311018984
"304","Tlk1","midnightblue",15,215,0.915666983986708
"305","Usp12","midnightblue",15,215,0.912599462821732
"306","Ppp3r1","midnightblue",15,215,0.903715195447573
"307","Arpc2","midnightblue",15,215,0.901288379890466
"308","Uhrf1bp1l","midnightblue",15,215,0.893136579978681
"309","Ppp1r21","midnightblue",15,215,0.892352714895765
"310","LOC110597606","midnightblue",15,215,0.890049885095237
"311","Zmynd11","midnightblue",15,215,0.886450446622784
"312","Rps6kc1","midnightblue",15,215,0.885839573694469
"313","Nckap1","midnightblue",15,215,0.880603594298183
"314","Fam171b","midnightblue",15,215,0.880251697782457
"315","TMSB4X_G3417","midnightblue",15,215,0.875603767280412
"316","Arpc5","midnightblue",15,215,0.874851244621537
"317","Sp3","midnightblue",15,215,0.873342488484528
"318","Exoc6","midnightblue",15,215,0.869395706415487
"319","Mllt11","midnightblue",15,215,0.866228578167438
"320","G35858","midnightblue",15,215,0.864767807379314
"321","Zmiz1","lightcyan",16,211,0.906020242115339
"322","Sik3","lightcyan",16,211,0.882520757715528
"323","Igdcc4","lightcyan",16,211,0.877726445232056
"324","Hmbox1","lightcyan",16,211,0.871852310191574
"325","Slc22a23","lightcyan",16,211,0.870007433716493
"326","Trim67","lightcyan",16,211,0.869203375006971
"327","Anks1a","lightcyan",16,211,0.868359502597803
"328","Myo1c","lightcyan",16,211,0.866016190628743
"329","Ano8","lightcyan",16,211,0.865982662661777
"330","Sipa1l2","lightcyan",16,211,0.863540935658817
"331","Vav2","lightcyan",16,211,0.861086633397218
"332","Abcg4","lightcyan",16,211,0.854274200212861
"333","Cdh24","lightcyan",16,211,0.851090698352806
"334","Flnb","lightcyan",16,211,0.850331842815606
"335","B3galt5","lightcyan",16,211,0.846639348187729
"336","Dab2ip","lightcyan",16,211,0.846574448303765
"337","Fam160b2","lightcyan",16,211,0.843853065661608
"338","Kcnk9","lightcyan",16,211,0.840618328569046
"339","Apbb2","lightcyan",16,211,0.837016621950321
"340","Tmem104","lightcyan",16,211,0.835851051437272
"341","Pura","grey60",17,200,0.955403148317334
"342","GUCY1A2_containing_G21932","grey60",17,200,0.943208023475869
"343","Csrnp3","grey60",17,200,0.93862458908804
"344","Lnpep","grey60",17,200,0.926839043444017
"345","Fut9","grey60",17,200,0.924067237605831
"346","Gucy1a2","grey60",17,200,0.915132977003099
"347","Scai","grey60",17,200,0.91122853054762
"348","Nfat5","grey60",17,200,0.911034439429357
"349","Bdp1","grey60",17,200,0.910167706717625
"350","Vps13c","grey60",17,200,0.908981004452355
"351","Dgkh","grey60",17,200,0.907533144446433
"352","Nbeal1","grey60",17,200,0.906747737152786
"353","G37446","grey60",17,200,0.906579668742087
"354","ZNF546_containing","grey60",17,200,0.903000284992798
"355","Tet1","grey60",17,200,0.901959263465175
"356","Arfgef3","grey60",17,200,0.898137718137459
"357","G25408","grey60",17,200,0.895019326068892
"358","Kcnh7","grey60",17,200,0.892703424280749
"359","G7434","grey60",17,200,0.891048395135246
"360","Syt14","grey60",17,200,0.883838972066271
"361","Cers6","lightgreen",18,194,0.905917498168816
"362","Kpna3","lightgreen",18,194,0.901340040379694
"363","ZDHHC21_like","lightgreen",18,194,0.895575784233943
"364","Spast","lightgreen",18,194,0.888885895165321
"365","Lrch2","lightgreen",18,194,0.888633373585297
"366","Lin7c","lightgreen",18,194,0.888520595717178
"367","Fbxo22","lightgreen",18,194,0.887998656119538
"368","Gopc","lightgreen",18,194,0.883167896479752
"369","Crk","lightgreen",18,194,0.881650829078035
"370","Ugcg","lightgreen",18,194,0.870043319055393
"371","Atxn3","lightgreen",18,194,0.867305233134674
"372","SERP1","lightgreen",18,194,0.867060308760012
"373","Lamtor3","lightgreen",18,194,0.865912043862449
"374","Znf287","lightgreen",18,194,0.865737148088984
"375","Ubr7","lightgreen",18,194,0.86419524621788
"376","Mob1b","lightgreen",18,194,0.862578209639853
"377","SYT14_like","lightgreen",18,194,0.854136304412092
"378","Ncoa4","lightgreen",18,194,0.852513300683715
"379","Mfsd14a","lightgreen",18,194,0.852220027378926
"380","UBE2G1_like_ENSSTOG00000021672","lightgreen",18,194,0.846673756243816
"381","Pi4kb","lightyellow",19,167,0.922581103131541
"382","Xpo6","lightyellow",19,167,0.885261674164475
"383","Map1s","lightyellow",19,167,0.855838400327642
