"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Casc4",NA,"grey",0,NA
"2","Eya3","Mapk14","turquoise",1,2092
"3","Mrps7","Mrps7","blue",2,1768
"4","Mff","Mff","brown",3,1423
"5","Fbxl16","Fbxl16","yellow",4,1335
"6","Lgi3","Lgi3","green",5,713
"7","Senp7","Senp7","red",6,472
"8","Cd63","Cd63","black",7,444
"9","Hspa13","Hspa13","pink",8,319
"10","Pcnx3","Pcnx3","magenta",9,286
"11","Cpm","Cpm","purple",10,282
"12","Xiap","Xiap","greenyellow",11,270
"13","Mapk8ip3","Mapk8ip3","tan",12,256
"14","NCAM2_containing_gene23294","NCAM2_containing_gene23294","salmon",13,246
"15","EGFEM1P_containing_gene15217","EGFEM1P_containing_gene15217","cyan",14,238
"16","Mtpn","Mtpn","midnightblue",15,215
"17","Zmiz1","Zmiz1","lightcyan",16,211
"18","Pura","Pura","grey60",17,200
"19","Cers6","Cers6","lightgreen",18,194
"20","Pi4kb","Pi4kb","lightyellow",19,167
"21","Tnrc18","Tnrc18","royalblue",20,156
"22","G3859","G3859","darkred",21,136
"23","Ptpra","Ptpra","darkgreen",22,134
"24","Leng8","Leng8","darkturquoise",23,131
"25","Apbb1","Apbb1","darkgrey",24,128
"26","TMTC1_containing","TMTC1_containing","orange",25,122
"27","Rgs8","Rgs8","darkorange",26,116
"28","TMEM135_like","TMEM135_like","white",27,114
"29","Gtf2h1","Gtf2h1","skyblue",28,104
"30","G245","G245","saddlebrown",29,103
"31","Luc7l","Luc7l","steelblue",30,101
"32","G39681","G39681","paleturquoise",31,101
"33","Pik3r3","Pik3r3","violet",32,99
"34","Aldh1l1","Aldh1l1","darkolivegreen",33,96
"35","Cacng7","Cacng7","darkmagenta",34,93
"36","Mbd3","Mbd3","sienna3",35,91
"37","Nfasc","Nfasc","yellowgreen",36,81
"38","Rrn3","Rrn3","skyblue3",37,67
"39","Slc4a5","Slc4a5","plum1",38,62
"40","ECE1","ECE1","orangered4",39,55
