"","gene","r","module_color","module_n"
"1","PURA",0.662184842419045,"midnightblue",15
"2","FAM120C",0.510326627952248,"green",5
"3","SHC3_like",0.622710269650714,"purple",10
"4","CYSTM1",0.793911038024677,"brown",3
"5","UBE2N_ENSSTOG00000002166",0.584775695427427,"darkred",21
"6","TMEM184C_ENSSTOG00000003964",0.607150162987747,"salmon",13
"7","KCTD4",0.717126761232065,"grey60",17
"8","BCL2L1_ENSSTOG00000007643",0.602598621001578,"blue",2
"9","RRAGA",-0.0737469456954735,"grey",0
"10","MORF4L1_ENSSTOG00000009157",-0.050883328479915,"grey",0
"11","SOX2",-0.047980029392705,"grey",0
"12","ZNF112",0.866132960663494,"turquoise",1
"13","RHOB_ENSSTOG00000014644",0.0604216121976763,"grey",0
"14","H1F0_ENSSTOG00000014808",0.625835089325705,"blue",2
"15","ENSSTOG00000014826",0.723226820817059,"blue",2
"16","ZBED8",0.854091512355948,"turquoise",1
"17","KIAA0232",-0.212751989905753,"grey",0
"18","RTL8C_ENSSTOG00000019454",-0.283545527444357,"grey",0
"19","PLEKHB2_ENSSTOG00000019474",0.32193118633817,"blue",2
"20","RPS6_ENSSTOG00000019647",0.509041144286901,"blue",2
"21","LDOC1",0.608817292307603,"blue",2
"22","MRPL9",0.0586583297538627,"grey",0
"23","RTL8A_ENSSTOG00000020310",0.38222633957874,"blue",2
"24","RPL24_ENSSTOG00000020333",-0.084990344814254,"grey",0
"25","RPL5_ENSSTOG00000020981",-0.251586027148406,"grey",0
"26","PTP4A1_ENSSTOG00000021612",0.6128468238595,"darkred",21
"27","UBE2G1_like_ENSSTOG00000021672",0.371772914240287,"grey",0
"28","SNRPE",0.456724875329416,"brown",3
"29","MTLN",0.564661675455161,"yellow",4
"30","ENSSTOG00000022616",0.371926139814814,"turquoise",1
"31","RPS24_ENSSTOG00000023496",0.137460760355481,"grey",0
"32","CD82_like",0.788949460338057,"blue",2
"33","DAP_containing",0.655512016918549,"cyan",14
"34","ATG12",-0.061904918788422,"grey",0
"35","NCS1_containing",0.396828856560252,"black",7
"36","RPL37A_ENSSTOG00000025537",0.38494624654024,"blue",2
"37","TMEM74B",0.456878057222944,"blue",2
"38","HLA-A_like_ENSSTOG00000025614",-0.0249556136751159,"grey",0
"39","TMEM215",0.12708882380247,"grey",0
"40","RPS6_ENSSTOG00000025963",0.656274675516588,"cyan",14
"41","U1_ENSSTOG00000027312",0.607185848942698,"red",6
"42","RPL10A",0.711704974103586,"blue",2
"43","ATP6V1D_like",0.754752548872731,"brown",3
"44","HNRNPA0",0.534186991772021,"blue",2
"45","MAGEH1",-0.0622942413512837,"grey",0
"46","RPS3A_ENSSTOG00000028898",0.482257551074863,"blue",2
"47","ENSSTOG00000029288",0.162733738453954,"grey",0
"48","ENSSTOG00000029436",0.446856404490661,"pink",8
"49","ENSSTOG00000029460",0.438580265389157,"turquoise",1
"50","TINCR",0.613085526611338,"blue",2
"51","ENSSTOG00000029562",0.635024708564558,"yellow",4
"52","ZNF146_ENSSTOG00000029664",0.742811002262509,"turquoise",1
"53","ENSSTOG00000029825",0.549968727166248,"magenta",9
"54","EIF4B_ENSSTOG00000029945",0.566410443210007,"blue",2
"55","ENSSTOG00000030034",0.593103925845266,"yellow",4
"56","TMA7_ENSSTOG00000030110",0.619971776675598,"purple",10
"57","PANTR1_containing",0.551002752125473,"magenta",9
"58","ENSSTOG00000030237",0.623723720101388,"greenyellow",11
"59","ENSSTOG00000030661",-0.0584515661370673,"grey",0
"60","LINC00672",0.668802039004114,"magenta",9
"61","CD24_like",0.540508489351746,"green",5
"62","COX6B1_like",0.55678848018961,"blue",2
"63","PHYH_containing_ENSSTOG00000031003",0.415505455638766,"blue",2
"64","ENSSTOG00000031217",0.469477480092437,"blue",2
"65","AGL_containing_ENSSTOG00000031387",0.604789280282442,"lightcyan",16
"66","ENSSTOG00000031411",0.731281692616817,"green",5
"67","ENSSTOG00000031516",0.659230282374473,"tan",12
"68","FKBP1A_ENSSTOG00000031532",0.475633556577257,"blue",2
"69","MAP4_like",0.528578749189182,"blue",2
"70","ENSSTOG00000031812",0.602639788836563,"magenta",9
