"","module_color","hubgene","module_n","n"
"1","turquoise","Atp5o",1,3155
"2","blue","Nrip3",2,1215
"3","brown","Fadd",3,1067
"4","yellow","Med13",4,1037
"5","green","Dennd4a",5,835
"6","red","Sez6l2",6,674
"7","black","Mid1ip1",7,582
"8","pink","Polr2b",8,524
"9","magenta","Tmsb10",9,504
"10","purple","Tns2",10,496
"11","greenyellow","ZBTB7A_containing_G19503",11,454
"12","tan","Nob1",12,360
"13","salmon","G38978",13,284
"14","cyan","Slc4a5",14,260
"15","midnightblue","Tada3",15,220
"16","lightcyan","Cdyl2",16,186
"17","grey60","Rbm34",17,184
"18","lightgreen","Ipo7",18,174
"19","lightyellow","Sec62",19,169
"20","royalblue","Slc7a2",20,150
"21","darkred","PTPRS_containing",21,144
"22","darkgreen","Aga",22,144
"23","darkturquoise","Zc3h15",23,112
"24","darkgrey","Dbh",24,111
"25","orange","Srcin1",25,98
"26","darkorange","Plxnb1",26,90
"27","white","Col1a2",27,75
"28","skyblue","Jph3",28,67
