"","gene","n","module_n","module_color"
"1","AACSP1_containing",140,1,"turquoise"
"2","Aar2",5,2,"blue"
"3","Aars",4,2,"blue"
"4","Aarsd1",7,2,"blue"
"5","Abat",22,5,"green"
"6","Abca1",43,2,"blue"
"7","Abcb10",6,1,"turquoise"
"8","Abcc5",50,1,"turquoise"
"9","Abcd2",16,3,"brown"
"10","Abcd3",189,3,"brown"
"11","Abcg1",69,1,"turquoise"
"12","ABCG2_like_gene20024",2,2,"blue"
"13","Abcg4",3,16,"lightcyan"
"14","Abhd12b",6,4,"yellow"
"15","Abhd16a",9,2,"blue"
"16","Abhd4",73,2,"blue"
"17","Abi1",23,15,"midnightblue"
"18","Abi2",8,15,"midnightblue"
"19","Abl1",30,1,"turquoise"
"20","ABR",56,4,"yellow"
"21","Abtb2",8,2,"blue"
"22","Acaa2",7,3,"brown"
"23","Acad11",143,2,"blue"
"24","Acadl",111,7,"black"
"25","Acadm",5,8,"pink"
"26","Acap3",8,0,"grey"
"27","Acat1",22,5,"green"
"28","Acer2",12,1,"turquoise"
"29","ACER3_containing",5,8,"pink"
"30","Ache",9,5,"green"
"31","Acin1",8,1,"turquoise"
"32","Ackr3",33,1,"turquoise"
"33","Acly",21,32,"violet"
"34","Aco2",33,5,"green"
"35","Acp1",37,2,"blue"
"36","Acsbg1",3,2,"blue"
"37","Acsl3",18,3,"brown"
"38","Acsl6",7,7,"black"
"39","Acss2",3,7,"black"
"40","Actb",12,24,"darkgrey"
"41","Actn1",109,1,"turquoise"
"42","Actn2",63,4,"yellow"
"43","Actn4",61,20,"royalblue"
"44","Actr10",210,3,"brown"
"45","Actr3",25,4,"yellow"
"46","Acvr1b",7,4,"yellow"
"47","Acvr2a",68,1,"turquoise"
"48","ACVR2B_G18537",206,1,"turquoise"
"49","Acyp1",6,3,"brown"
"50","Adam23",10,5,"green"
"51","Adam9",1,25,"orange"
"52","Adamts4",9,5,"green"
"53","Adar",1,12,"tan"
"54","Adcy1",71,4,"yellow"
"55","Adcy3",12,1,"turquoise"
"56","Adcy5",6,1,"turquoise"
"57","Adcy6",103,1,"turquoise"
"58","Adcyap1r1",48,2,"blue"
"59","Add1",4,31,"paleturquoise"
"60","Add2",20,4,"yellow"
"61","Add3",13,3,"brown"
"62","Adgrb1",13,0,"grey"
"63","Adgrb2",88,4,"yellow"
"64","Adgrb3",30,4,"yellow"
"65","Adgrl1",5,4,"yellow"
"66","ADH5_like",155,3,"brown"
"67","Adh7",7,2,"blue"
"68","Adipor1",25,7,"black"
"69","Adirf",3,2,"blue"
"70","Adk",15,15,"midnightblue"
"71","Adnp",2,1,"turquoise"
"72","Ado",11,4,"yellow"
"73","Adora2a",14,0,"grey"
"74","Adprh",7,2,"blue"
"75","Adra1d",9,1,"turquoise"
"76","ADRB1_containing",46,1,"turquoise"
"77","Adsl",15,8,"pink"
"78","AEBP2_like",9,6,"red"
"79","Aes",4,0,"grey"
"80","Afap1",37,1,"turquoise"
"81","Afdn",10,1,"turquoise"
"82","Agap2",221,4,"yellow"
"83","AGAP2",54,4,"yellow"
"84","AGAP2_like",120,0,"grey"
"85","Agfg2",73,1,"turquoise"
"86","Agk",3,0,"grey"
"87","AGO1_like",49,1,"turquoise"
"88","Ago2",177,1,"turquoise"
"89","AGO3_gene1944",5,17,"grey60"
"90","Ahdc1",7,20,"royalblue"
"91","Ahi1",11,5,"green"
"92","Ahnak2",45,5,"green"
"93","Ahr",75,1,"turquoise"
"94","Aifm1",56,3,"brown"
"95","Aig1",10,5,"green"
"96","Aip",2,35,"sienna3"
"97","Ajap1",18,1,"turquoise"
"98","AJAP1_containing",88,1,"turquoise"
"99","AJM1_containing",83,0,"grey"
"100","Ak3",13,3,"brown"
"101","Ak5",108,4,"yellow"
"102","Akap1",1,1,"turquoise"
"103","Akap12",45,5,"green"
"104","Akap5",124,4,"yellow"
"105","AKAP5",62,4,"yellow"
"106","Akip1",8,3,"brown"
"107","Akr1a1",11,3,"brown"
"108","Akr1b1",68,3,"brown"
"109","Aktip",4,5,"green"
"110","Alcam",1,4,"yellow"
"111","ALDH18A1",26,1,"turquoise"
"112","Aldh1a1",6,5,"green"
"113","Aldh1l1",3,33,"darkolivegreen"
"114","Aldh1l2",3,2,"blue"
