"","gene","n","module_n","module_color"
"1","Aacs_rna21691",6,6,"red"
"2","Aacs_rna21691_alt",2,12,"tan"
"3","AACSP1_containing",38,1,"turquoise"
"4","Aars",46,2,"blue"
"5","Aasdh",23,1,"turquoise"
"6","Aatk",5,14,"cyan"
"7","Abca1",8,2,"blue"
"8","Abca2",6,11,"greenyellow"
"9","Abcb10",4,1,"turquoise"
"10","Abcb9",4,3,"brown"
"11","Abcc5",70,1,"turquoise"
"12","Abcd1",22,2,"blue"
"13","Abce1",7,6,"red"
"14","Abcg1",24,1,"turquoise"
"15","Abhd17b",4,1,"turquoise"
"16","Abhd2",77,3,"brown"
"17","Abhd3",4,5,"green"
"18","Abi3bp",5,9,"magenta"
"19","Acad10",21,2,"blue"
"20","Acad11",6,2,"blue"
"21","Acad9",48,2,"blue"
"22","Acadl",14,3,"brown"
"23","Acap3",15,2,"blue"
"24","Acbd3",9,1,"turquoise"
"25","Acbd5",200,1,"turquoise"
"26","Acer2",4,1,"turquoise"
"27","Ache",3,7,"black"
"28","Ackr3",166,1,"turquoise"
"29","Aco2",44,2,"blue"
"30","Acot7",4,10,"purple"
"31","Acp1",16,2,"blue"
"32","Acp6",3,4,"yellow"
"33","Acsl6",7,2,"blue"
"34","ACSL6_containing",3,2,"blue"
"35","Actb",160,2,"blue"
"36","Actr1a",12,2,"blue"
"37","Acvr2b",9,1,"turquoise"
"38","ACVR2B_G18537",450,1,"turquoise"
"39","Adam15",36,4,"yellow"
"40","Adamts4",4,11,"greenyellow"
"41","Adamts6",17,9,"magenta"
"42","Adamtsl5",21,9,"magenta"
"43","Adar",4,10,"purple"
"44","Adcy2",15,4,"yellow"
"45","Add1",101,2,"blue"
"46","Adgra2",4,16,"lightcyan"
"47","Adgrb1",9,4,"yellow"
"48","Adgrb3",7,4,"yellow"
"49","Adgrl2",8,5,"green"
"50","Adgrl3",4,9,"magenta"
"51","Adnp2",5,2,"blue"
"52","Adpgk",31,1,"turquoise"
"53","Adra2a",10,1,"turquoise"
"54","Adsl",7,8,"pink"
"55","Aebp1",3,16,"lightcyan"
"56","Afap1",191,1,"turquoise"
"57","Agfg2",52,1,"turquoise"
"58","AGO1_like",9,1,"turquoise"
"59","Ago2",115,1,"turquoise"
"60","Agpat1",2,10,"purple"
"61","Agpat3",11,2,"blue"
"62","Agrn",12,4,"yellow"
"63","Ahi1",5,7,"black"
"64","Ahr",50,1,"turquoise"
"65","Ahsa1",3,13,"salmon"
"66","Aifm3",14,9,"magenta"
"67","AJM1_containing",7,5,"green"
"68","Ak2",373,1,"turquoise"
"69","Ak4",9,6,"red"
"70","AK4_containing",11,1,"turquoise"
"71","Akap10",13,1,"turquoise"
"72","Akap9",1,6,"red"
"73","Akirin1",10,6,"red"
"74","Akr1a1",20,2,"blue"
"75","Akt1",7,2,"blue"
"76","Aldh1l1",55,5,"green"
"77","Aldoa",8,10,"purple"
"78","Alg12",27,1,"turquoise"
"79","Alg2",220,1,"turquoise"
"80","Alg5",17,2,"blue"
"81","Alkbh5",6,6,"red"
"82","Als2cl",131,2,"blue"
"83","Amd1",611,1,"turquoise"
"84","Amdhd2",10,12,"tan"
"85","Amer1",30,1,"turquoise"
"86","AMER1",9,1,"turquoise"
"87","Amer3",20,1,"turquoise"
"88","Amh",73,1,"turquoise"
"89","Ampd3",4,3,"brown"
"90","Anapc11",3,2,"blue"
"91","Anapc4",6,2,"blue"
"92","Ank1",1,5,"green"
"93","Ank3",1,18,"lightgreen"
"94","Ankrd12",14,1,"turquoise"
"95","Ankrd13b",11,1,"turquoise"
"96","Ankrd17",10,1,"turquoise"
"97","Ankrd27",7,1,"turquoise"
"98","Ankrd40",44,5,"green"
"99","Ankrd44",12,17,"grey60"
"100","Ankrd49",42,1,"turquoise"
"101","Ankrd52",199,1,"turquoise"
"102","Anln",3,17,"grey60"
"103","Anxa2",4,3,"brown"
"104","Anxa5",38,2,"blue"
"105","Anxa6",14,2,"blue"
"106","Anxa7",52,3,"brown"
"107","AOC2_like",280,1,"turquoise"
"108","Ap1b1",53,2,"blue"
"109","Ap1g1",20,1,"turquoise"
"110","Ap1g2",24,2,"blue"
"111","Ap1m1",66,2,"blue"
"112","Ap2a1",15,10,"purple"
"113","Ap2a2",56,10,"purple"
"114","Ap2b1",17,2,"blue"
"115","Ap3b2",21,4,"yellow"
"116","Ap3d1",104,10,"purple"
"117","Ap3m1",163,1,"turquoise"
"118","Ap5b1",8,2,"blue"
"119","Ap5z1",3,2,"blue"
"120","Apba3",8,2,"blue"
"121","Apeh",12,4,"yellow"
"122","Apopt1",3,2,"blue"
"123","Arap1",16,4,"yellow"
"124","Arap2",3,17,"grey60"
"125","Arcn1",27,6,"red"
"126","Arf1",51,2,"blue"
"127","Arf5",29,2,"blue"
"128","Arfgap3",38,3,"brown"
"129","Arfgef1",12,1,"turquoise"
"130","Arfgef2",4,3,"brown"
"131","Arfip2",3,2,"blue"
"132","Arglu1",7,9,"magenta"
"133","ARHGAP23_like",3,17,"grey60"
"134","Arhgap24",16,4,"yellow"
"135","Arhgap29",7,1,"turquoise"
"136","Arhgap5",267,1,"turquoise"
"137","Arhgdia",47,2,"blue"
"138","Arhgdig",10,7,"black"
"139","Arhgef10l",29,4,"yellow"
"140","Arid3a",168,1,"turquoise"
"141","Arid3b",6,1,"turquoise"
"142","Arid4a",45,1,"turquoise"
"143","Arid5a",196,2,"blue"
"144","Arid5b",26,1,"turquoise"
"145","Arih1",18,1,"turquoise"
"146","Arl10",8,6,"red"
"147","Arl5b",277,1,"turquoise"
"148","ARL5B_like",199,1,"turquoise"
"149","Arl6ip6",5,9,"magenta"
"150","Arl8a",17,2,"blue"
"151","ARMH3_like",107,4,"yellow"
"152","Armt1",45,1,"turquoise"
"153","Arnt2",3,4,"yellow"
"154","Arpc2",84,2,"blue"
"155","Arpc3",42,3,"brown"
"156","ARPC3_gene26162",18,2,"blue"
"157","Arpc4",104,2,"blue"
"158","Arrb2",35,2,"blue"
"159","Arsb",17,11,"greenyellow"
"160","Asb7",5,1,"turquoise"
"161","Asic4",6,2,"blue"
"162","Asna1",33,2,"blue"
"163","Asnsd1",243,1,"turquoise"
"164","Asph",2,5,"green"
"165","Aste1",16,1,"turquoise"
"166","Astn1",5,4,"yellow"
"167","Astn2",3,4,"yellow"
"168","Asxl3",6,4,"yellow"
"169","Atad1",2,6,"red"
"170","ATAD2B",14,1,"turquoise"
"171","Atcay",2,10,"purple"
"172","ATF6_containing",109,3,"brown"
"173","Atg14",87,1,"turquoise"
"174","Atg4d",114,1,"turquoise"
"175","Atic",15,3,"brown"
"176","ATL2_containing",3,1,"turquoise"
"177","Atl3",22,1,"turquoise"
"178","Atp11c",7,1,"turquoise"
"179","Atp13a4",13,9,"magenta"
"180","ATP1A2_like",2,4,"yellow"
"181","Atp1a3",9,7,"black"
"182","Atp1b1",7,7,"black"
"183","Atp2b3",3,4,"yellow"
"184","Atp5a1",11,2,"blue"
"185","Atp5b",7,2,"blue"
"186","Atp5c1",93,3,"brown"
"187","Atp5d",16,2,"blue"
"188","Atp5e",35,2,"blue"
"189","Atp5f1",155,3,"brown"
"190","Atp5g1",73,2,"blue"
"191","Atp5g3",114,2,"blue"
"192","Atp5h",5,2,"blue"
"193","Atp5i",25,2,"blue"
"194","Atp5j",5,2,"blue"
"195","Atp5j2",54,2,"blue"
"196","Atp5l",12,2,"blue"
"197","Atp5o",50,2,"blue"
