"","gene","n","module_n","module_color"
"1","AACSP1_containing",173,4,"yellow"
"2","Aak1",1,11,"greenyellow"
"3","Aarsd1",4,1,"turquoise"
"4","Aasdh",147,4,"yellow"
"5","Abat",35,5,"green"
"6","Abca1",37,5,"green"
"7","Abcb10",16,4,"yellow"
"8","Abcc10",3,12,"tan"
"9","Abcc5",85,2,"blue"
"10","Abcc8",3,11,"greenyellow"
"11","Abcd2",20,1,"turquoise"
"12","Abcd3",220,1,"turquoise"
"13","Abcf3",5,17,"grey60"
"14","Abcg1",109,2,"blue"
"15","ABCG2_like_gene20024",3,1,"turquoise"
"16","Abcg4",9,17,"grey60"
"17","Abhd16a",10,18,"lightgreen"
"18","Abhd17c",4,16,"lightcyan"
"19","Abhd4",90,5,"green"
"20","Abhd8",2,9,"magenta"
"21","Abi1",28,3,"brown"
"22","Abi2",13,3,"brown"
"23","Abl1",52,2,"blue"
"24","ABR",79,11,"greenyellow"
"25","Abtb2",30,26,"darkorange"
"26","Acaa2",9,1,"turquoise"
"27","Acad11",133,1,"turquoise"
"28","Acad9",3,20,"royalblue"
"29","Acadl",147,1,"turquoise"
"30","Acadm",12,10,"purple"
"31","Acadsb",15,10,"purple"
"32","Acap3",24,11,"greenyellow"
"33","Acat1",33,5,"green"
"34","Acbd4",8,2,"blue"
"35","Acer2",16,4,"yellow"
"36","Ache",17,5,"green"
"37","Acin1",39,2,"blue"
"38","Acly",35,27,"white"
"39","Aco2",47,8,"pink"
"40","Acp1",25,1,"turquoise"
"41","Acsbg1",6,5,"green"
"42","Acsl3",18,10,"purple"
"43","Acsl6",8,19,"lightyellow"
"44","Acss2",5,20,"royalblue"
"45","Actb",19,8,"pink"
"46","Actn1",167,2,"blue"
"47","Actn2",54,3,"brown"
"48","Actn4",144,2,"blue"
"49","Actr10",236,1,"turquoise"
"50","Actr3",23,3,"brown"
"51","Acvr1b",17,2,"blue"
"52","Acvr2a",9,3,"brown"
"53","Acyp1",6,1,"turquoise"
"54","Adam11",3,2,"blue"
"55","Adam15",4,31,"paleturquoise"
"56","Adam22",4,29,"saddlebrown"
"57","Adam23",12,5,"green"
"58","Adam9",1,5,"green"
"59","Adamts4",15,5,"green"
"60","Adcy1",87,3,"brown"
"61","Adcy3",32,2,"blue"
"62","Adcy5",4,9,"magenta"
"63","Adcy6",156,2,"blue"
"64","Adcyap1r1",54,5,"green"
"65","Add1",6,11,"greenyellow"
"66","Add2",42,2,"blue"
"67","Add3",11,1,"turquoise"
"68","Adgrb1",16,11,"greenyellow"
"69","Adgrb2",110,11,"greenyellow"
"70","Adgrb3",50,3,"brown"
"71","Adgrl1",11,2,"blue"
"72","ADH5_like",192,1,"turquoise"
"73","Adh7",18,1,"turquoise"
"74","Adipor1",24,20,"royalblue"
"75","Adk",14,1,"turquoise"
"76","Adnp",11,2,"blue"
"77","Ado",14,3,"brown"
"78","Adora1",5,2,"blue"
"79","Adora2a",11,9,"magenta"
"80","Adprh",8,1,"turquoise"
"81","Adra1d",13,2,"blue"
"82","AEBP2_like",11,6,"red"
"83","Aes",2,14,"cyan"
"84","Afap1",84,2,"blue"
"85","Afdn",50,12,"tan"
"86","Agap2",229,3,"brown"
"87","Agap3",6,11,"greenyellow"
"88","Agfg2",138,2,"blue"
"89","Agk",3,1,"turquoise"
"90","AGO1_like",96,2,"blue"
"91","Ago2",234,4,"yellow"
"92","Ahdc1",15,2,"blue"
"93","Ahi1",15,5,"green"
"94","Ahr",80,4,"yellow"
"95","Aif1",4,1,"turquoise"
"96","Aifm1",73,5,"green"
"97","Aig1",18,5,"green"
"98","Aimp1",3,5,"green"
"99","Ajap1",42,2,"blue"
"100","AJM1_containing",146,9,"magenta"
"101","Ak3",18,1,"turquoise"
"102","Ak5",103,3,"brown"
"103","Akap1",1,7,"black"
"104","Akap12",68,5,"green"
"105","Akap5",95,3,"brown"
"106","Akip1",16,1,"turquoise"
"107","Akr1a1",8,1,"turquoise"
"108","Akr1b1",19,1,"turquoise"
"109","AKR1C3_like",6,1,"turquoise"
"110","Aktip",4,5,"green"
"111","Alas1",4,20,"royalblue"
"112","Alcam",3,3,"brown"
"113","ALDH18A1",72,2,"blue"
"114","Aldh1a1",10,5,"green"
"115","Aldh1l1",7,21,"darkred"
"116","Aldh2",5,1,"turquoise"
"117","Aldh7a1",8,1,"turquoise"
"118","Alg10",17,28,"skyblue"
"119","Alg12",72,2,"blue"
"120","Alg14",106,1,"turquoise"
"121","Alg2",83,4,"yellow"
"122","Alg5",159,1,"turquoise"
"123","Alg6",4,30,"steelblue"
"124","Alkbh5",1,7,"black"
"125","Ambra1",1,15,"midnightblue"
"126","Amd1",312,4,"yellow"
"127","Ammecr1",5,30,"steelblue"
"128","Ammecr1l",4,4,"yellow"
"129","Amn1",20,1,"turquoise"
"130","Ampd3",30,5,"green"
"131","Anapc13",104,1,"turquoise"
"132","Anapc16",90,1,"turquoise"
"133","Angel2",61,4,"yellow"
"134","Ank1",25,22,"darkgreen"
"135","ANKHD1_gene10482",23,0,"grey"
"136","Ankrd11",82,2,"blue"
"137","ANKRD11_containing_gene26121",18,2,"blue"
"138","Ankrd12",11,28,"skyblue"
"139","Ankrd13a",2,0,"grey"
"140","Ankrd13b",69,2,"blue"
"141","Ankrd13c",13,6,"red"
"142","Ankrd17",37,2,"blue"
"143","Ankrd27",16,2,"blue"
"144","Ankrd33b",113,2,"blue"
"145","Ankrd34a",104,2,"blue"
"146","Ankrd34c",3,5,"green"
"147","Ankrd45",7,3,"brown"
"148","Ankrd46",27,6,"red"
"149","Ankrd49",42,4,"yellow"
"150","Ankrd52",76,0,"grey"
"151","Anks1a",3,17,"grey60"
"152","Anks1b",58,3,"brown"
"153","Ano3",32,3,"brown"
"154","Ano6",10,10,"purple"
"155","Ano8",7,17,"grey60"
"156","Anos1",76,3,"brown"
"157","Anxa2",4,1,"turquoise"
"158","Anxa5",3,1,"turquoise"
"159","Anxa7",25,20,"royalblue"
"160","Ap1ar",21,6,"red"
"161","Ap1b1",4,8,"pink"
"162","Ap1g1",7,4,"yellow"
"163","Ap1s1",11,3,"brown"
"164","AP1S2",33,5,"green"
"165","Ap2a1",2,11,"greenyellow"
"166","Ap2m1",7,1,"turquoise"
"167","Ap3b1",26,5,"green"
"168","Ap3b2",7,15,"midnightblue"
"169","Ap3d1",10,8,"pink"
"170","Ap3m1",14,4,"yellow"
"171","Apba1",6,22,"darkgreen"
"172","Apbb1",3,14,"cyan"
"173","Apc2",4,15,"midnightblue"
"174","Apeh",23,1,"turquoise"
"175","Aph1b",108,1,"turquoise"
"176","Aplp1",23,8,"pink"
"177","Apopt1",41,1,"turquoise"
"178","App",76,11,"greenyellow"
"179","Aptx",24,1,"turquoise"
"180","Aqp1",3,0,"grey"
"181","Aqp4",6,1,"turquoise"
"182","Arap1",2,15,"midnightblue"
"183","Arap2",88,3,"brown"
"184","Arc",181,2,"blue"
"185","Arcn1",6,1,"turquoise"
"186","Arf3",150,3,"brown"
"187","Arfgap3",10,10,"purple"
"188","Arfgef3",6,29,"saddlebrown"
"189","Arhgap1",44,2,"blue"
"190","Arhgap12",20,1,"turquoise"
"191","Arhgap20",42,3,"brown"
"192","Arhgap24",53,5,"green"
"193","Arhgap26",32,3,"brown"
"194","Arhgap32",48,2,"blue"
"195","Arhgap33",208,2,"blue"
"196","Arhgap36",108,5,"green"
"197","Arhgap39",15,2,"blue"
"198","Arhgap5",6,28,"skyblue"
"199","ARHGEF18_like",5,2,"blue"
"200","Arhgef2",60,11,"greenyellow"
"201","Arhgef26",22,5,"green"
"202","Arhgef3",9,3,"brown"
"203","Arhgef4",81,9,"magenta"
"204","Arhgef40",13,17,"grey60"
"205","Arhgef6",105,1,"turquoise"
"206","Arhgef7",72,2,"blue"
"207","Arhgef9",32,3,"brown"
"208","Arid1b",30,15,"midnightblue"
"209","Arid4a",202,4,"yellow"
"210","Arid5a",7,5,"green"
"211","Arl1",44,6,"red"
"212","Arl10",3,16,"lightcyan"
"213","Arl2bp",2,6,"red"
"214","Arl4a",4,3,"brown"
"215","Arl4d",200,2,"blue"
"216","Arl5b",114,4,"yellow"
"217","Arl6ip1",12,1,"turquoise"
"218","Armcx4",15,9,"magenta"
"219","ARMH3_like",95,5,"green"
"220","Armt1",21,4,"yellow"
"221","Arnt",12,2,"blue"
"222","Arpc2",12,18,"lightgreen"
"223","Arpc3",31,1,"turquoise"
"224","Arpc4",6,18,"lightgreen"
"225","Arpc5",8,3,"brown"
"226","Arpp19",25,3,"brown"
"227","Arpp21",179,3,"brown"
"228","Arrdc1",14,2,"blue"
"229","Arrdc4",4,3,"brown"
"230","Arsk",8,1,"turquoise"
"231","Arx",53,3,"brown"
"232","Asah1",108,1,"turquoise"
"233","Asic4",12,5,"green"
"234","Asna1",43,1,"turquoise"
"235","Asnsd1",59,4,"yellow"
"236","Asphd1",32,9,"magenta"
"237","Asphd2",32,2,"blue"
"238","Aste1",29,2,"blue"
"239","Astn1",86,9,"magenta"
"240","Asxl1",6,7,"black"
"241","ATAD2B",17,4,"yellow"
"242","Atcay",2,15,"midnightblue"
"243","Atf4",18,4,"yellow"
"244","Atf7",5,2,"blue"
"245","Atg12",3,6,"red"
"246","Atg14",99,4,"yellow"
"247","Atg16l1",91,2,"blue"
"248","Atg2a",20,15,"midnightblue"
"249","Atg3",10,5,"green"
"250","Atg4c",2,13,"salmon"
"251","Atg4d",38,2,"blue"
"252","Atic",31,1,"turquoise"
"253","Atl1",6,3,"brown"
"254","ATL2_containing",14,4,"yellow"
"255","Atm",3,29,"saddlebrown"
"256","Atn1",15,15,"midnightblue"
"257","Atp11a",5,0,"grey"
"258","Atp13a1",6,12,"tan"
"259","Atp13a2",1,31,"paleturquoise"
"260","Atp13a3",5,4,"yellow"
"261","Atp1a1",61,11,"greenyellow"
"262","ATP1A2_like",8,5,"green"
"263","Atp1a3",4,22,"darkgreen"
"264","Atp1b1",5,5,"green"
"265","Atp1b2",32,5,"green"
"266","Atp2b1",142,3,"brown"
"267","Atp2b4",63,9,"magenta"
"268","Atp2c1",3,3,"brown"
"269","Atp5a1",114,1,"turquoise"
"270","Atp5b",29,1,"turquoise"
"271","Atp5c1",268,1,"turquoise"
"272","Atp5e",77,1,"turquoise"
"273","Atp5f1",297,1,"turquoise"
"274","Atp5g1",23,1,"turquoise"
"275","Atp5g3",184,1,"turquoise"
"276","Atp5h",181,1,"turquoise"
"277","Atp5i",8,1,"turquoise"
"278","Atp5j",107,1,"turquoise"
"279","Atp5j2",105,1,"turquoise"
"280","Atp5l",142,1,"turquoise"
"281","Atp5o",323,1,"turquoise"
"282","Atp5s",20,6,"red"
"283","Atp6ap1",93,8,"pink"
"284","Atp6ap2",22,6,"red"
"285","Atp6v0a2",52,4,"yellow"
"286","Atp6v0c",10,8,"pink"
"287","Atp6v0d1",9,18,"lightgreen"
"288","Atp6v0e1",9,1,"turquoise"
"289","Atp6v0e2",60,1,"turquoise"
"290","Atp6v1a",10,1,"turquoise"
"291","Atp6v1e1",209,1,"turquoise"
"292","Atp6v1g1",35,10,"purple"
"293","Atp6v1h",17,1,"turquoise"
"294","Atp8b2",6,2,"blue"
"295","Atraid",123,1,"turquoise"
"296","Atrnl1",56,3,"brown"
"297","Atrx",1,33,"darkolivegreen"
"298","Atxn1",19,3,"brown"
"299","Atxn2",72,2,"blue"
"300","Atxn2l",17,12,"tan"
"301","Atxn7l1",12,2,"blue"
"302","Atxn7l2",33,9,"magenta"
"303","Atxn7l3",3,9,"magenta"
"304","Auh",59,1,"turquoise"
"305","Avl9",5,1,"turquoise"
"306","Axin1",6,2,"blue"
"307","Axin2",8,2,"blue"
"308","Azin2",3,24,"darkgrey"
"309","B2m",37,1,"turquoise"
"310","B3galnt2",215,4,"yellow"
"311","B3galt5",4,17,"grey60"
"312","B3gat1",7,3,"brown"
"313","B4galt3",3,2,"blue"
"314","Babam1",3,8,"pink"
"315","Babam2",24,8,"pink"
"316","Bag1",67,1,"turquoise"
"317","Bag6",17,8,"pink"
"318","Bahcc1",11,12,"tan"
"319","Bahd1",95,2,"blue"
"320","Baiap2",224,2,"blue"
"321","Bak1",9,4,"yellow"
"322","Banp",68,4,"yellow"
"323","Bap1",20,9,"magenta"
"324","Basp1",18,3,"brown"
"325","Baz2a",29,12,"tan"
"326","Bbip1",13,1,"turquoise"
"327","Bbox1",5,5,"green"
"328","Bbs1",114,2,"blue"
"329","Bbs12",9,2,"blue"
"330","Bcap29",8,1,"turquoise"
"331","Bcap31",82,1,"turquoise"
"332","Bcas1",110,5,"green"
"333","Bcas3",6,8,"pink"
"334","Bcat1",41,5,"green"
"335","Bccip",3,1,"turquoise"
"336","Bche",11,1,"turquoise"
"337","Bckdhb",31,1,"turquoise"
"338","Bcl11a",76,3,"brown"
"339","Bcl11b",50,2,"blue"
"340","Bcl7a",75,2,"blue"
"341","Bcl9",77,2,"blue"
"342","Bcl9l",73,2,"blue"
"343","Bclaf1",31,1,"turquoise"
"344","Bclaf3",2,5,"green"
"345","Bcorl1",230,2,"blue"
"346","Bcr",71,2,"blue"
"347","Bdp1",13,29,"saddlebrown"
"348","Becn1",44,1,"turquoise"
"349","Bend4",4,4,"yellow"
"350","Bend6",5,5,"green"
"351","BEX1",56,1,"turquoise"
"352","BEX2",8,24,"darkgrey"
"353","Bex3",2,5,"green"
"354","Bex5",3,5,"green"
"355","Bhlhb9",4,1,"turquoise"
"356","Bhlhe22",16,3,"brown"
"357","Bicra",66,2,"blue"
"358","Bicral",11,2,"blue"
"359","Bid",51,3,"brown"
"360","Birc2",11,4,"yellow"
"361","Birc3",114,4,"yellow"
"362","Bloc1s1",27,1,"turquoise"
"363","Blvrb",10,1,"turquoise"
"364","Bmp1",55,2,"blue"
"365","Bmpr2",4,29,"saddlebrown"
