"","gene","r","module_color","module_n"
"1","FAM120C",0.717336862412046,"blue",2
"2","CYSTM1",0.817145445970349,"darkorange",26
"3","UBE2N_ENSSTOG00000002166",0.738151879919534,"green",5
"4","TMEM184C_ENSSTOG00000003964",0.670022334546878,"darkturquoise",23
"5","RRAGA",0.0479791317784385,"grey",0
"6","MORF4L1_ENSSTOG00000009157",0.665754575434613,"turquoise",1
"7","ZNF112",0.915849400225204,"yellow",4
"8","H1F0_ENSSTOG00000014808",0.58535739917658,"turquoise",1
"9","ENSSTOG00000014826",0.632771929484355,"turquoise",1
"10","ZBED8",0.860395105382362,"yellow",4
"11","KIAA0232",0.352001674823289,"grey",0
"12","SNORD101_ENSSTOG00000016938",0.707027614855656,"turquoise",1
"13","PLEKHB2_ENSSTOG00000019474",-0.200049865443406,"grey",0
"14","RPS6_ENSSTOG00000019647",0.546427352968299,"turquoise",1
"15","MRPL9",0.566658073707387,"green",5
"16","RTL8A_ENSSTOG00000020310",0.175590003284466,"grey",0
"17","RPL24_ENSSTOG00000020333",0.444415278067504,"red",6
"18","RPL5_ENSSTOG00000020981",0.650197270155482,"turquoise",1
"19","MIR138-1",0.775344738998928,"blue",2
"20","ENSSTOG00000021438",0.735305056597165,"blue",2
"21","UBE2G1_like_ENSSTOG00000021672",0.712533892031134,"red",6
"22","MTLN",-0.0708926191812189,"grey",0
"23","RPS24_ENSSTOG00000023496",0.617975558066966,"turquoise",1
"24","DAP_containing",0.673529340083101,"green",5
"25","NCS1_containing",0.784488037819569,"magenta",9
"26","RPS6_ENSSTOG00000025963",0.708627428231801,"turquoise",1
"27","RPL10A",0.87085546669361,"turquoise",1
"28","ATP6V1D_like",0.657998925695322,"turquoise",1
"29","U6_ENSSTOG00000028171",0.54287799012671,"turquoise",1
"30","RPS3A_ENSSTOG00000028898",0.72338493970071,"red",6
"31","RP9",-0.123456712844516,"grey",0
"32","ENSSTOG00000029359",0.553236054320035,"orange",25
"33","ENSSTOG00000029362",0.919028278318086,"blue",2
"34","ENSSTOG00000029624",0.678705060151001,"blue",2
"35","ZNF146_ENSSTOG00000029664",0.630704681599616,"yellow",4
"36","ENSSTOG00000029690",0.651964526533293,"brown",3
"37","ENSSTOG00000029825",0.897056149460471,"magenta",9
"38","ENSSTOG00000030034",0.742763652728138,"turquoise",1
"39","TMA7_ENSSTOG00000030110",0.589265791927663,"turquoise",1
"40","PANTR1_containing_ENSSTOG00000030227",0.589773574377632,"blue",2
"41","ENSSTOG00000030386",0.757281035945403,"brown",3
"42","ENSSTOG00000030432",0.798540469441551,"saddlebrown",29
"43","LINC00672",0.772017864986858,"salmon",13
"44","ENSSTOG00000030810",0.930794387262462,"brown",3
"45","COX6B1_like",0.700118023323885,"turquoise",1
"46","PHYH_containing_ENSSTOG00000031003",0.782811433757115,"turquoise",1
"47","ENSSTOG00000031142",0.741772542057975,"blue",2
"48","ABCF1_containing",0.0635006919724214,"grey",0
"49","ENSSTOG00000031411",0.197832278413686,"grey",0
"50","ENSSTOG00000031528",0.317257006648075,"blue",2
"51","FKBP1A_ENSSTOG00000031532",0.60073326067636,"brown",3
"52","MAP4_like",0.563255575125,"turquoise",1
"53","ENSSTOG00000031812",0.160237818061785,"grey",0
"54","ENSSTOG00000032022",0.683947614277961,"turquoise",1
"55","ENSSTOG00000032137",0.902454918470089,"lightgreen",18
"56","ENSSTOG00000032161",0.848679877497556,"brown",3
"57","ENSSTOG00000032204",-0.24044815527956,"grey",0
"58","SETSIP_ENSSTOG00000032385",0.625260387747569,"turquoise",1
"59","PPP1R2_like",0.795281047559958,"red",6
"60","NCL_like",0.0388691328097727,"grey",0
"61","ENSSTOG00000032437",0.767952296485069,"blue",2
"62","COX6B1_ENSSTOG00000032450",0.675036113767524,"turquoise",1
"63","MEF2D_containing",0.85768140707522,"blue",2
"64","ENSSTOG00000032645",0.0827690787744961,"grey",0
