"","topcorgene","module_color","module_n","module_genes","membership"
"1","Ccnk","grey",0,NA,0.912441173807218
"2","Stt3a","grey",0,NA,0.907585446220153
"3","Nup98","grey",0,NA,0.90368032102047
"4","Shroom4","grey",0,NA,0.892193077538874
"5","Fgfr2","grey",0,NA,0.890295587292891
"6","Hif1an","grey",0,NA,0.890117724007698
"7","Fam120b","grey",0,NA,0.884667627259554
"8","Kiaa0355","grey",0,NA,0.883769459919538
"9","Wnt9a","grey",0,NA,0.877676451774544
"10","Ttc17","grey",0,NA,0.873414491668009
"11","Znf366","grey",0,NA,0.873396195309504
"12","Ankrd13a","grey",0,NA,0.871469331055109
"13","ANKHD1_gene10482","grey",0,NA,0.869679060268617
"14","LOC101974202","grey",0,NA,0.869679060268617
"15","Erbb3","grey",0,NA,0.869215890253173
"16","Dlg5","grey",0,NA,0.868852835434969
"17","Atp11a","grey",0,NA,0.864993606579575
"18","Dip2b","grey",0,NA,0.861486015687781
"19","Mbtps1","grey",0,NA,0.85405442727515
"20","Ankrd52","grey",0,NA,0.85204815871951
"21","Atp5o","turquoise",1,1992,0.972018340930151
"22","Sdhc","turquoise",1,1992,0.954991914225059
"23","Ndufs4","turquoise",1,1992,0.951709766082214
"24","Nme2","turquoise",1,1992,0.946332211797219
"25","Prdx1","turquoise",1,1992,0.942919821672829
"26","Ndufv2","turquoise",1,1992,0.942914694650051
"27","Tut1","turquoise",1,1992,0.942832598601941
"28","Mff","turquoise",1,1992,0.941303406791733
"29","Rpl19","turquoise",1,1992,0.940838672534013
"30","Psma3","turquoise",1,1992,0.938302435835899
"31","Mmadhc","turquoise",1,1992,0.937130804800694
"32","Actr10","turquoise",1,1992,0.93599961443795
"33","Atp5c1","turquoise",1,1992,0.933020415781135
"34","Psmb4","turquoise",1,1992,0.931563459213583
"35","Atp5f1","turquoise",1,1992,0.931421985406115
"36","ADH5_like","turquoise",1,1992,0.928308375500606
"37","Sbds","turquoise",1,1992,0.928284695445944
"38","MORF4L2","turquoise",1,1992,0.923298856593704
"39","Rplp0","turquoise",1,1992,0.92277359601
"40","Fez1","turquoise",1,1992,0.921675005562844
"41","Kdm2a","blue",2,1137,0.954536194966729
"42","Ubn1","blue",2,1137,0.953685535916223
"43","Rab40c","blue",2,1137,0.947261020673159
"44","Nkiras2","blue",2,1137,0.945614450629167
"45","Trio","blue",2,1137,0.945194444813066
"46","Brd3","blue",2,1137,0.943010838292116
"47","G5636","blue",2,1137,0.93975725734239
"48","Kmt2d","blue",2,1137,0.937248904612844
"49","Slc25a42","blue",2,1137,0.937127273182101
"50","Rfx1","blue",2,1137,0.936421832021396
"51","Zbtb46","blue",2,1137,0.934019516518211
"52","Fstl4","blue",2,1137,0.933282746201868
"53","Mogs","blue",2,1137,0.932889332289113
"54","Hdac4","blue",2,1137,0.932330694349685
"55","Egr1","blue",2,1137,0.93131022247028
"56","Spen","blue",2,1137,0.930304110465379
"57","Csmd2","blue",2,1137,0.929733407775172
"58","DUSP7_gene26322","blue",2,1137,0.928955083089688
"59","Proser1","blue",2,1137,0.928456627562688
"60","Taok2","blue",2,1137,0.927904655728095
"61","Cnksr2","brown",3,926,0.975671924301224
"62","Ddn","brown",3,926,0.972764405955201
"63","Enc1","brown",3,926,0.970337130338063
"64","Atp2b1","brown",3,926,0.969451372404622
"65","Chn1","brown",3,926,0.967149361924113
"66","Rgs14","brown",3,926,0.958267340171978
"67","Rasgrp1","brown",3,926,0.95752575775807
"68","Kcnmb4","brown",3,926,0.956827922960094
"69","Klhl2","brown",3,926,0.955757364400227
"70","Lmo4","brown",3,926,0.949813509678751
"71","FRMPD4_G3402","brown",3,926,0.948262372065871
"72","G3402","brown",3,926,0.948262372065871
"73","Zbtb18","brown",3,926,0.947504523215672
"74","Dlgap1","brown",3,926,0.947225275554228
"75","Cap2","brown",3,926,0.945113565984029
"76","Rab11fip2","brown",3,926,0.944822208002057
"77","KALRN_like","brown",3,926,0.944318712702327
"78","Gria3","brown",3,926,0.943444158791076
"79","Fbxl16","brown",3,926,0.943287093162543
"80","Lhx2","brown",3,926,0.940848952268979
"81","Cldn12","yellow",4,903,0.968242349513918
"82","Amd1","yellow",4,903,0.966710598293566
"83","Lins1","yellow",4,903,0.963279504675329
"84","ZNF354C","yellow",4,903,0.960937917417107
"85","Mex3c","yellow",4,903,0.957696179424644
"86","Twistnb","yellow",4,903,0.957054793347439
"87","Dixdc1","yellow",4,903,0.954651499303088
"88","Nup58","yellow",4,903,0.95224690389683
"89","Znf280b","yellow",4,903,0.950145980292376
"90","Stk4","yellow",4,903,0.948204018927342
"91","DIPK2A_like","yellow",4,903,0.947278835012545
