"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Ccnk",NA,"grey",0,NA
"2","Atp5o","Atp5o","turquoise",1,1992
"3","Kdm2a","Ubn1","blue",2,1137
"4","Cnksr2","Cnksr2","brown",3,926
"5","Cldn12","Cldn12","yellow",4,903
"6","Akap12","Akap12","green",5,675
"7","Ppp1cb","Ppp1cb","red",6,440
"8","Rnf4","Rnf4","black",7,321
"9","Clptm1","Clptm1","pink",8,320
"10","Dmtn","Dmtn","magenta",9,309
"11","Grsf1","Grsf1","purple",10,267
"12","Grin1","Grin1","greenyellow",11,233
"13","Celsr3","Celsr3","tan",12,219
"14","NCAM2_containing_gene23294","NCAM2_containing_gene23294","salmon",13,208
"15","Hspbp1","Hspbp1","cyan",14,202
"16","Kif1a","Kif1a","midnightblue",15,196
"17","Gtf2h1","Gtf2h1","lightcyan",16,177
"18","Zmiz1","Zmiz1","grey60",17,171
"19","G32880","G32880","lightgreen",18,166
"20","Qrich1","Qrich1","lightyellow",19,162
"21","Pgd","Pgd","royalblue",20,152
"22","Mcf2l2","Mcf2l2","darkred",21,132
"23","Disp2","Disp2","darkgreen",22,127
"24","Ranbp6","Ranbp6","darkturquoise",23,113
"25","Ptpra","Ptpra","darkgrey",24,109
"26","Lcor","Lcor","orange",25,109
"27","Tcn2","Tcn2","darkorange",26,99
"28","Capza1","Capza1","white",27,91
"29","Itgb8","Itgb8","skyblue",28,89
"30","Csrnp3","Csrnp3","saddlebrown",29,87
"31","Nrdc","Nrdc","steelblue",30,85
"32","Szt2","Szt2","paleturquoise",31,79
"33","Flywch1","Flywch1","violet",32,68
"34","Mysm1","Mysm1","darkolivegreen",33,58
