"","topcorgene","module_color","module_n","module_genes","membership"
"1","Cry2","grey",0,NA,0.768108579131697
"2","Relt","grey",0,NA,0.760016165503199
"3","Gtpbp1","grey",0,NA,0.751119824611393
"4","Cpne2","grey",0,NA,0.734139912134233
"5","Dennd3","grey",0,NA,0.729233012219426
"6","Gigyf1","grey",0,NA,0.719062918459704
"7","Ephb2","grey",0,NA,0.716863748415388
"8","Slc8a2","grey",0,NA,0.716282403986816
"9","Dip2a","grey",0,NA,0.715733150572851
"10","Caskin2","grey",0,NA,0.706148124604725
"11","Foxp4","grey",0,NA,0.697868488216053
"12","Sesn2","grey",0,NA,0.693672917007216
"13","Gna11","grey",0,NA,0.689913398833445
"14","Trim11","grey",0,NA,0.683160350225031
"15","Mnt","grey",0,NA,0.672591019442354
"16","Shroom2","grey",0,NA,0.667972499400018
"17","Syt12","grey",0,NA,0.667519385270631
"18","Suv39h1","grey",0,NA,0.658630796712492
"19","Mau2","grey",0,NA,0.658004632227389
"20","Cacnb1","grey",0,NA,0.656981591820343
"21","Crkl","turquoise",1,2345,0.976529519649542
"22","Cbll1","turquoise",1,2345,0.974353594878029
"23","Amd1","turquoise",1,2345,0.970980507157056
"24","Usp37","turquoise",1,2345,0.969726868206058
"25","Ythdc1","turquoise",1,2345,0.966842707654524
"26","Ythdf3","turquoise",1,2345,0.964391785565153
"27","Fam136a","turquoise",1,2345,0.958841667443237
"28","Eya3","turquoise",1,2345,0.95805302564173
"29","TACO1_containing","turquoise",1,2345,0.957454830757555
"30","Cep350","turquoise",1,2345,0.956941121509943
"31","DIPK2A_like","turquoise",1,2345,0.956878201154838
"32","Fam222b","turquoise",1,2345,0.956673363439247
"33","Fadd","turquoise",1,2345,0.955212169167238
"34","Zmym2","turquoise",1,2345,0.95501745450081
"35","Rps6kb1","turquoise",1,2345,0.954772057213671
"36","Znf280b","turquoise",1,2345,0.954614225179932
"37","Ak2","turquoise",1,2345,0.953821200412756
"38","Smarce1","turquoise",1,2345,0.951893160572651
"39","Ugdh","turquoise",1,2345,0.951823527437522
"40","Nup58","turquoise",1,2345,0.951611251836547
"41","Pigt","blue",2,2034,0.966726891426529
"42","COX5B_like_gene22048","blue",2,2034,0.956127738219519
"43","Capns1","blue",2,2034,0.949270609827579
"44","Slc25a4","blue",2,2034,0.942791170129225
"45","Cltb","blue",2,2034,0.9394400206471
"46","Ech1","blue",2,2034,0.937434070544749
"47","Plbd2","blue",2,2034,0.936426498271668
"48","Cstb","blue",2,2034,0.936247181072008
"49","Ssu72","blue",2,2034,0.934512882668494
"50","Lamp1","blue",2,2034,0.932724997153303
"51","Ube2v1","blue",2,2034,0.931113417162931
"52","Exosc4","blue",2,2034,0.92895058845707
"53","Eif4h","blue",2,2034,0.928319844987693
"54","Idh3b","blue",2,2034,0.927361535990727
"55","Fastk","blue",2,2034,0.927145616901075
"56","Nme2","blue",2,2034,0.926900840028748
"57","Idh3g","blue",2,2034,0.926525549323691
"58","Actb","blue",2,2034,0.925783599631471
"59","Psmb6","blue",2,2034,0.92354001440597
"60","Rab5c","blue",2,2034,0.923383861662086
"61","NXF2B_like","brown",3,806,0.932435330053677
"62","Ptprm","brown",3,806,0.925673621378693
"63","Tm9sf4","brown",3,806,0.912144086945784
"64","Phc1","brown",3,806,0.911030847053034
"65","Ift172","brown",3,806,0.907543181263344
"66","Ap3b2","brown",3,806,0.902054175447611
"67","Grm7","brown",3,806,0.901998968128184
"68","G3940","brown",3,806,0.899373175246808
"69","Rnf32","brown",3,806,0.898703866342311
"70","Nf1","brown",3,806,0.897414717344771
"71","Rimklb","brown",3,806,0.896678686347044
"72","Ccdc159","brown",3,806,0.895346814259143
"73","Nrxn1","brown",3,806,0.894489248244426
"74","Szt2","brown",3,806,0.893661374763824
"75","G10765","brown",3,806,0.893423474478489
"76","Prpf40b","brown",3,806,0.889263484851282
"77","Tenm1","brown",3,806,0.888521791120317
"78","Ptprt","brown",3,806,0.88822987414719
"79","Coro6","brown",3,806,0.887672294757524
"80","Tmem94","brown",3,806,0.882810494057765
"81","Luzp1","yellow",4,735,0.95704468773466
"82","Srsf4","yellow",4,735,0.952954629789016
"83","PABPC1L2B_like_gene25887","yellow",4,735,0.9346587416726
"84","LOC106144648","yellow",4,735,0.933595678936708
"85","Hnrnpa2b1","yellow",4,735,0.922997309484141
"86","Fam78b","yellow",4,735,0.921683094506571
"87","Smg1","yellow",4,735,0.918659454986361
"88","Pdia2","yellow",4,735,0.915769520456637
"89","Spop","yellow",4,735,0.912288359154792
"90","Slitrk5","yellow",4,735,0.90676024833676
"91","Lemd3","yellow",4,735,0.905765961688111
"92","Marf1","yellow",4,735,0.90540580440102
"93","Tmem151b","yellow",4,735,0.902660646852258
"94","G3860","yellow",4,735,0.902431481851295
"95","TSHZ2_G30132","yellow",4,735,0.899360327402282
"96","Bbs1","yellow",4,735,0.896854428194422
"97","Rtl5","yellow",4,735,0.895072951160283
"98","PABPC1L2B_like_gene25888","yellow",4,735,0.894398855251206
"99","Upf2","yellow",4,735,0.892480909603727
"100","PDE4D_like","yellow",4,735,0.891464883513014
"101","Mtpn","green",5,663,0.911109142834235
"102","Pdcd6","green",5,663,0.91056701787874
"103","Surf4","green",5,663,0.908845612238557
"104","Arfgap3","green",5,663,0.908587559487249
"105","Anxa7","green",5,663,0.905707265957571
"106","Dlst","green",5,663,0.901014992592085
"107","Crbn","green",5,663,0.895445816629123
"108","Nup153","green",5,663,0.895399812252754
"109","Snrpb2","green",5,663,0.893166699950328
"110","Atp6v1g1","green",5,663,0.893109825258511
"111","Pgd","green",5,663,0.891739916221966
"112","Stard7","green",5,663,0.891076116583047
"113","Ythdf1","green",5,663,0.889643097237784
"114","Psmd6","green",5,663,0.886561789964314
"115","Psmd9","green",5,663,0.884600318833059
"116","Bzw1","green",5,663,0.883066754296646
"117","Nek6","green",5,663,0.8827181701671
"118","Ginm1","green",5,663,0.882138297566226
"119","Rae1","green",5,663,0.880030298407232
"120","Ubxn4","green",5,663,0.879949410908962
"121","Dnm1","red",6,625,0.929843411251113
"122","Slc24a3","red",6,625,0.90993276727514
"123","Gap43","red",6,625,0.904250791025454
"124","Brsk1","red",6,625,0.89759113031796
"125","Ncdn","red",6,625,0.893212654041503
"126","Rbfox1","red",6,625,0.892083587473157
"127","Cntnap1","red",6,625,0.891625124386076
"128","Cadps2","red",6,625,0.887932270463238
"129","Dlgap1","red",6,625,0.887637376248775
"130","Nsg2","red",6,625,0.883108131180655
"131","Sptb","red",6,625,0.881938929624344
"132","Myt1l","red",6,625,0.880402967048877
"133","Prkce","red",6,625,0.880260812616993
"134","Ppfia3","red",6,625,0.879752953964618
"135","Gria3","red",6,625,0.878782021608766
"136","Snap25","red",6,625,0.877159505814312
"137","Atp1a3","red",6,625,0.875424598161288
"138","Kcnd2","red",6,625,0.874255197720484
"139","Clstn3","red",6,625,0.873804932326005
"140","Tspyl4","red",6,625,0.873320398578599
"141","Col11a1","black",7,378,0.9641432935832
"142","Eln","black",7,378,0.940517219425748
"143","Slc7a2","black",7,378,0.935026821966418
"144","Kdm4c","black",7,378,0.920700241574993
"145","Wsb1","black",7,378,0.919461981277662
"146","Arglu1","black",7,378,0.909426421539456
"147","Pgap3","black",7,378,0.908570888764538
"148","Coro2b","black",7,378,0.8963646729916
"149","Map3k6","black",7,378,0.895061108203064
"150","Uckl1","black",7,378,0.885259516744152
"151","Def8","black",7,378,0.884097429229001
"152","Rgs11","black",7,378,0.881161476323059
"153","Tgfb3","black",7,378,0.880775692768148
"154","Plch2","black",7,378,0.879436989174989
"155","Ebf4","black",7,378,0.878369098112576
"156","Pfkfb2","black",7,378,0.877659677631187
"157","Gdpd2","black",7,378,0.875672318929219
"158","Wnk4","black",7,378,0.875161465596559
"159","Pla2g4b","black",7,378,0.873463242143783
"160","Col16a1","black",7,378,0.870175215745502
"161","Syngr1","pink",8,293,0.916194608543971
"162","Dmwd","pink",8,293,0.916119709758939
"163","Fkbp8","pink",8,293,0.915123764827615
"164","Rundc3a","pink",8,293,0.897253630893693
"165","Ppp2r1a","pink",8,293,0.891006664413718
"166","Mapk8ip2","pink",8,293,0.889459309647245
"167","Cend1","pink",8,293,0.887466461734657
"168","Gsk3a","pink",8,293,0.886410378020604
"169","CUNH16orf45","pink",8,293,0.880541358813662
