"","topcorgene","hubgene","module_color","module_n","module_genes"
"1","Cry2",NA,"grey",0,NA
"2","Crkl","Crkl","turquoise",1,2345
"3","Pigt","Pigt","blue",2,2034
"4","NXF2B_like","NXF2B_like","brown",3,806
"5","Luzp1","Luzp1","yellow",4,735
"6","Mtpn","Pdcd6","green",5,663
"7","Dnm1","Dnm1","red",6,625
"8","Col11a1","Col11a1","black",7,378
"9","Syngr1","Syngr1","pink",8,293
"10","Fgf12","Fgf12","magenta",9,278
"11","Mysm1","Senp6","purple",10,261
"12","Mog","Mog","greenyellow",11,237
"13","Cct8","Cct8","tan",12,233
"14","Hspd1","Hspd1","salmon",13,182
"15","Rapgef5","Kif13b","cyan",14,173
"16","Gnao1","Gnao1","midnightblue",15,161
"17","Slc6a13","Slc6a13","lightcyan",16,140
"18","Slc38a3","Slc38a3","grey60",17,123
"19","Rngtt","Rngtt","lightgreen",18,94
"20","Uhmk1","Uhmk1","lightyellow",19,88
"21","Otud7b","Otud7b","royalblue",20,73
