"","gene","n","module_n","module_color"
"1","AACSP1_containing",154,1,"turquoise"
"2","Aak1",121,3,"brown"
"3","Aamp",71,2,"blue"
"4","Aars",21,2,"blue"
"5","Aarsd1",77,2,"blue"
"6","Aasdh",208,1,"turquoise"
"7","Aasdhppt",17,0,"grey"
"8","Aatf",4,2,"blue"
"9","Abca1",3,17,"grey60"
"10","Abca2",10,8,"pink"
"11","Abca5",8,3,"brown"
"12","Abcb10",15,1,"turquoise"
"13","Abcb9",7,2,"blue"
"14","Abcc10",8,8,"pink"
"15","Abcc5",196,1,"turquoise"
"16","Abcd3",4,23,"darkturquoise"
"17","Abce1",10,3,"brown"
"18","Abcf2",8,2,"blue"
"19","Abhd11",41,4,"yellow"
"20","Abhd12",4,14,"cyan"
"21","Abhd15",16,12,"tan"
"22","Abhd17a",19,4,"yellow"
"23","Abhd17b",35,1,"turquoise"
"24","Abhd2",3,3,"brown"
"25","Abhd4",11,4,"yellow"
"26","Abhd6",7,7,"black"
"27","Abhd8",10,9,"magenta"
"28","Abi2",7,3,"brown"
"29","Abl2",11,3,"brown"
"30","Ablim1",7,6,"red"
"31","ABR",12,3,"brown"
"32","Acaca",39,1,"turquoise"
"33","Acad9",10,2,"blue"
"34","Acap2",22,6,"red"
"35","Acap3",11,8,"pink"
"36","Acat1",6,4,"yellow"
"37","Acbd4",10,7,"black"
"38","Acbd5",84,1,"turquoise"
"39","Acbd6",8,2,"blue"
"40","Acer2",16,1,"turquoise"
"41","Ache",27,9,"magenta"
"42","Acin1",90,7,"black"
"43","Ackr3",71,1,"turquoise"
"44","Aco1",12,1,"turquoise"
"45","Aco2",135,13,"salmon"
"46","Acot7",29,9,"magenta"
"47","Acot8",9,2,"blue"
"48","Acp1",36,2,"blue"
"49","Acp6",22,5,"green"
"50","Acsl4",4,3,"brown"
"51","Acsl6",79,3,"brown"
"52","Actb",158,2,"blue"
"53","Actg1",16,2,"blue"
"54","Actn4",29,5,"green"
"55","Actr10",38,2,"blue"
"56","Actr1a",42,2,"blue"
"57","Actr1b",158,2,"blue"
"58","Actr5",7,1,"turquoise"
"59","ADA_like",4,5,"green"
"60","Adal",137,1,"turquoise"
"61","Adam10",60,1,"turquoise"
"62","Adam15",5,8,"pink"
"63","Adam17",6,1,"turquoise"
"64","Adam22",14,6,"red"
"65","Adam23",7,3,"brown"
"66","Adamts10",4,8,"pink"
"67","Adamtsl4",7,12,"tan"
"68","Adar",82,3,"brown"
"69","Adcy1",19,3,"brown"
"70","Adcy6",51,10,"purple"
"71","Adcy8",6,23,"darkturquoise"
"72","Adcy9",21,3,"brown"
"73","Add1",8,13,"salmon"
"74","Add2",38,3,"brown"
"75","Adgra1",6,15,"midnightblue"
"76","Adgrb1",6,8,"pink"
"77","Adgrf5",5,1,"turquoise"
"78","Adgrl2",8,1,"turquoise"
"79","Adgrl3",4,25,"orange"
"80","ADH5_like",17,4,"yellow"
"81","Adra1a",15,3,"brown"
"82","Adra1b",25,2,"blue"
"83","Adrm1",29,14,"cyan"
"84","Aes",10,9,"magenta"
"85","Afap1",238,1,"turquoise"
"86","Afdn",47,6,"red"
"87","Aff1",3,6,"red"
"88","Aff2",107,3,"brown"
"89","Aff3",33,3,"brown"
"90","Aff4",67,3,"brown"
"91","Afg3l2",3,2,"blue"
"92","Agap2",2,21,"darkred"
"93","Agap3",6,9,"magenta"
"94","Agk",3,3,"brown"
"95","Ago2",188,1,"turquoise"
"96","AGO3_gene1944",12,1,"turquoise"
"97","Ago4",8,6,"red"
"98","Agpat1",4,0,"grey"
"99","Agpat3",7,13,"salmon"
"100","Agpat5",9,1,"turquoise"
"101","Agps",18,6,"red"
"102","Agrn",9,8,"pink"
"103","Agtpbp1",4,3,"brown"
"104","Ahctf1",118,1,"turquoise"
"105","Ahcyl2",3,1,"turquoise"
"106","Ahi1",32,3,"brown"
"107","Ahnak",20,1,"turquoise"
"108","Ahr",8,1,"turquoise"
"109","Ahsa1",3,7,"black"
"110","Aif1",5,5,"green"
"111","Aifm1",14,2,"blue"
"112","Aifm3",9,5,"green"
"113","Aig1",24,11,"greenyellow"
"114","Aimp2",5,2,"blue"
"115","Aip",18,4,"yellow"
"116","AJM1_containing",19,5,"green"
"117","Ak1",12,4,"yellow"
"118","Ak2",31,7,"black"
"119","Akap10",3,1,"turquoise"
"120","Akap11",9,6,"red"
"121","Akap12",11,3,"brown"
"122","Akap13",24,1,"turquoise"
"123","Akap2",87,3,"brown"
"124","Akap6",77,3,"brown"
"125","Akap7",38,1,"turquoise"
"126","Akap9",23,1,"turquoise"
"127","Akirin2",2,16,"lightcyan"
"128","Akna",34,12,"tan"
"129","Akr1a1",68,4,"yellow"
"130","Akt1",15,2,"blue"
"131","Akt1s1",3,7,"black"
"132","Akt3",7,1,"turquoise"
"133","Alas1",45,2,"blue"
"134","Aldh1l1",59,5,"green"
"135","Aldh2",3,4,"yellow"
"136","Aldh9a1",10,11,"greenyellow"
"137","Aldoa",74,9,"magenta"
"138","Alg11",9,1,"turquoise"
"139","Alg12",10,7,"black"
"140","Alg2",17,16,"lightcyan"
"141","Alg5",23,4,"yellow"
"142","Alkbh6",3,2,"blue"
"143","Alkbh7",3,4,"yellow"
"144","Alms1",124,1,"turquoise"
"145","Amd1",318,1,"turquoise"
"146","Amigo1",42,3,"brown"
"147","Amn1",27,2,"blue"
"148","Amot",5,1,"turquoise"
"149","Ampd3",36,3,"brown"
"150","Amt",4,8,"pink"
"151","Anapc11",55,4,"yellow"
"152","Anapc13",24,4,"yellow"
"153","Anapc15",59,4,"yellow"
"154","Angel2",186,1,"turquoise"
"155","Ank2",15,6,"red"
"156","Ankfy1",4,6,"red"
"157","ANKHD1_gene10482",184,1,"turquoise"
"158","ANKIB1",32,1,"turquoise"
"159","Ankrd10",5,10,"purple"
"160","Ankrd11",20,1,"turquoise"
"161","Ankrd12",213,1,"turquoise"
"162","Ankrd13b",14,7,"black"
"163","Ankrd17",95,1,"turquoise"
"164","Ankrd28",7,6,"red"
"165","Ankrd29",12,3,"brown"
"166","Ankrd40",53,1,"turquoise"
"167","Ankrd44",159,1,"turquoise"
"168","Ankrd50",7,3,"brown"
"169","Ankrd52",29,1,"turquoise"
"170","Ano3",6,1,"turquoise"
"171","Anxa7",62,2,"blue"
"172","Ap1b1",80,2,"blue"
"173","Ap1m1",179,2,"blue"
"174","Ap2a1",85,2,"blue"
"175","Ap2a2",53,15,"midnightblue"
"176","Ap2b1",30,2,"blue"
"177","Ap2m1",43,2,"blue"
"178","Ap5m1",118,1,"turquoise"
"179","Ap5z1",7,13,"salmon"
"180","Apba1",4,20,"royalblue"
"181","Apbb1",26,2,"blue"
"182","Apbb2",27,3,"brown"
"183","Apc",76,6,"red"
"184","Apc2",15,3,"brown"
"185","Apex1",1,2,"blue"
"186","Api5",4,3,"brown"
"187","Aplp1",23,5,"green"
"188","Apoo",3,22,"darkgreen"
"189","Apopt1",60,4,"yellow"
"190","Appl1",66,1,"turquoise"
"191","Appl2",15,1,"turquoise"
"192","Aprt",4,14,"cyan"
"193","Aptx",4,23,"darkturquoise"
"194","Aqr",14,3,"brown"
"195","Arap1",38,5,"green"
"196","Arap2",89,1,"turquoise"
"197","Arap3",19,1,"turquoise"
"198","Arcn1",25,0,"grey"
"199","Arel1",3,3,"brown"
"200","Arf1",124,2,"blue"
"201","Arf4",5,2,"blue"
"202","Arf5",126,2,"blue"
"203","Arfgap3",1,2,"blue"
"204","Arfgef1",34,3,"brown"
"205","Arfgef2",133,3,"brown"
"206","Arfgef3",42,6,"red"
"207","Arfip2",15,2,"blue"
"208","Arglu1",22,1,"turquoise"
"209","Arhgap18",7,3,"brown"
"210","Arhgap26",93,3,"brown"
"211","Arhgap29",81,1,"turquoise"
"212","Arhgap31",8,1,"turquoise"
"213","Arhgap32",51,1,"turquoise"
"214","Arhgap35",99,3,"brown"
"215","Arhgap45",1,10,"purple"
"216","Arhgap5",112,1,"turquoise"
"217","Arhgdia",123,2,"blue"
"218","Arhgdig",2,26,"darkorange"
"219","Arhgef1",9,5,"green"
"220","Arhgef12",60,6,"red"
"221","Arhgef28",4,1,"turquoise"
"222","Arhgef40",4,5,"green"
"223","Arid1a",9,18,"lightgreen"
"224","Arid1b",68,1,"turquoise"
"225","Arid2",24,1,"turquoise"
"226","Arid3b",79,1,"turquoise"
"227","Arid4a",140,1,"turquoise"
"228","Arid4b",37,1,"turquoise"
"229","Arid5b",8,1,"turquoise"
"230","Arih1",3,3,"brown"
"231","Arl1",5,2,"blue"
"232","Arl16",9,14,"cyan"
"233","Arl2",22,4,"yellow"
"234","Arl3",4,4,"yellow"
"235","Arl6ip1",17,2,"blue"
"236","Arl8a",47,9,"magenta"
"237","Arl8b",29,2,"blue"
"238","Armc8",4,3,"brown"
"239","Armcx4",4,3,"brown"
"240","ARMH3_like",4,13,"salmon"
"241","ARMH4_like",76,3,"brown"
"242","Armt1",9,1,"turquoise"
"243","Arnt",41,1,"turquoise"
"244","Arnt2",7,6,"red"
"245","Arpc2",44,4,"yellow"
"246","Arpc3",97,2,"blue"
"247","ARPC3_gene12616",6,2,"blue"
"248","ARPC3_gene26162",54,2,"blue"
"249","Arpc4",163,2,"blue"
"250","Arrb2",8,2,"blue"
"251","Asah2",59,3,"brown"
"252","Asap1",28,17,"grey60"
"253","Asb1",3,3,"brown"
"254","Asb7",3,1,"turquoise"
"255","Ascc1",3,4,"yellow"
"256","Ash1l",59,3,"brown"
"257","Asna1",200,2,"blue"
"258","Asns",11,2,"blue"
"259","Asnsd1",40,1,"turquoise"
"260","Aspscr1",30,4,"yellow"
"261","Aste1",25,1,"turquoise"
"262","Asxl1",1,17,"grey60"
"263","Asxl2",168,1,"turquoise"
"264","Atad2b",123,1,"turquoise"
"265","ATAD3A_like",5,2,"blue"
"266","Atat1",2,5,"green"
"267","Atcay",5,9,"magenta"
"268","Atf1",62,1,"turquoise"
"269","Atf2",67,3,"brown"
"270","ATF6_containing",30,3,"brown"
"271","Atf7",38,10,"purple"
"272","Atg13",13,3,"brown"
"273","Atg14",48,1,"turquoise"
"274","Atg16l1",13,1,"turquoise"
"275","Atg2b",60,1,"turquoise"
"276","Atg3",7,4,"yellow"
"277","Atg4d",25,7,"black"
"278","Atic",33,2,"blue"
"279","Atl1",20,3,"brown"
"280","Atl3",4,1,"turquoise"
"281","Atn1",2,5,"green"
"282","Atox1",22,4,"yellow"
"283","Atp11a",11,1,"turquoise"
"284","Atp11b",26,6,"red"
"285","Atp11c",3,3,"brown"
"286","Atp13a4",58,1,"turquoise"
"287","Atp1a1",35,2,"blue"
"288","ATP1A2_like",5,5,"green"
"289","Atp1a3",8,9,"magenta"
