"","gene","r","module_color","module_n"
"1","PURA",0.749999661085096,"darkgrey",24
"2","FAM120C",0.716961940484284,"turquoise",1
"3","CYSTM1",0.746844396987317,"blue",2
"4","UBE2N_ENSSTOG00000002166",0.500927526302181,"blue",2
"5","TMEM184C_ENSSTOG00000003964",0.65501890048861,"brown",3
"6","BCL2L1_ENSSTOG00000007643",0.550752728021112,"brown",3
"7","RRAGA",0.737923406601951,"blue",2
"8","MORF4L1_ENSSTOG00000009157",0.805047223709024,"darkgreen",22
"9","CDK5R1",0.850389636001625,"brown",3
"10","ZNF112",0.88599188066778,"turquoise",1
"11","H1F0_ENSSTOG00000014808",0.765193122398121,"salmon",13
"12","ENSSTOG00000014826",0.787294146491781,"blue",2
"13","KIAA0232",0.644665324692355,"turquoise",1
"14","SNORD101_ENSSTOG00000016938",0.755073015513977,"yellow",4
"15","RNaseP_nuc_ENSSTOG00000018579",0.0575448981205419,"grey",0
"16","RPS6_ENSSTOG00000019647",0.754700961425085,"yellow",4
"17","LDOC1",0.151368522688788,"grey",0
"18","MRPL9",0.212736121393869,"grey",0
"19","RPL24_ENSSTOG00000020333",0.569098065953664,"darkgrey",24
"20","RPL5_ENSSTOG00000020981",0.498461378172593,"yellow",4
"21","MIR138-1",0.819213743768818,"turquoise",1
"22","UBE2G1_like_ENSSTOG00000021672",0.558444532708268,"greenyellow",11
"23","FAM122A",0.185859965695678,"grey",0
"24","MTLN",-0.347913736427684,"grey",0
"25","ENSSTOG00000022616",0.571617929865676,"black",7
"26","RPS24_ENSSTOG00000023496",0.759867365294688,"yellow",4
"27","CD82_like",0.601767148405658,"blue",2
"28","DAP_containing",0.629473344321368,"yellow",4
"29","ATG12",0.649116308818677,"brown",3
"30","NCS1_containing",0.289480686326882,"brown",3
"31","RPS6_ENSSTOG00000025963",0.888361815841063,"yellow",4
"32","U1_ENSSTOG00000027312",0.378924287533427,"green",5
"33","RPL10A",0.847436461735506,"yellow",4
"34","ATP6V1D_like",0.809172360417445,"darkgreen",22
"35","CYCS_ENSSTOG00000028032",0.00611611582251629,"grey",0
"36","U6_ENSSTOG00000028171",0.642609661598431,"yellow",4
"37","HNRNPA0",-0.18261397560118,"grey",0
"38","RPS3A_ENSSTOG00000028898",0.0237046049443044,"grey",0
"39","RP9",0.318855993481883,"grey",0
"40","ENSSTOG00000029359",0.646809199880711,"darkred",21
"41","ENSSTOG00000029362",0.789383827443876,"black",7
"42","ENSSTOG00000029624",0.813368935631274,"turquoise",1
"43","ENSSTOG00000029792",0.531997831571288,"yellow",4
"44","ENSSTOG00000029825",0.646461995185239,"purple",10
"45","ENSSTOG00000029854",0.246840828721076,"grey",0
"46","EIF4B_ENSSTOG00000029945",0.660211782824046,"brown",3
"47","ENSSTOG00000030034",0.636688063943559,"yellow",4
"48","TMA7_ENSSTOG00000030110",0.695756263464166,"yellow",4
"49","PANTR1_containing_ENSSTOG00000030227",0.737813893367274,"black",7
"50","ENSSTOG00000030237",0.58390291694593,"blue",2
"51","ENSSTOG00000030432",0.277409250526089,"turquoise",1
"52","LINC00672",0.645708400115645,"yellow",4
"53","ENSSTOG00000030810",0.529332822646776,"royalblue",20
"54","COX6B1_like",0.693988967047263,"yellow",4
"55","PHYH_containing_ENSSTOG00000031003",0.7678925545869,"yellow",4
"56","ENSSTOG00000031090",0.569805452868883,"tan",12
"57","ENSSTOG00000031142",0.803343577198944,"purple",10
"58","ABCF1_containing",0.550144454916869,"turquoise",1
"59","ENSSTOG00000031305",0.312225167160718,"grey",0
"60","ENSSTOG00000031411",0.629108208313657,"turquoise",1
"61","ENSSTOG00000031528",0.486311973053004,"brown",3
"62","FKBP1A_ENSSTOG00000031532",0.094864405842354,"grey",0
"63","ENSSTOG00000031605",0.458106867305961,"blue",2
"64","ENSSTOG00000031635",0.644457604169674,"green",5
"65","MAP4_like",0.54933343495637,"brown",3
"66","ENSSTOG00000031812",0.707871530909911,"green",5
"67","PTGES3_like",0.424986050357257,"brown",3
"68","HMGN2_ENSSTOG00000031991",0.443580930797405,"yellow",4
"69","ENSSTOG00000032022",0.645057102198217,"blue",2
"70","MC1R_ENSSTOG00000032206",-0.233787771375925,"grey",0
"71","ENSSTOG00000032306",0.642794608832534,"yellow",4
"72","SETSIP_ENSSTOG00000032385",0.558120807228916,"blue",2
"73","PPP1R2_like",0.790921319826722,"brown",3
"74","NCL_like",0.407648487627475,"brown",3
"75","COX6B1_ENSSTOG00000032450",0.657970557624749,"yellow",4
"76","MEF2D_containing",0.692484547245273,"cyan",14
"77","ENSSTOG00000032645",-0.400430508085099,"grey",0
"78","ENSSTOG00000032651",0.0677136016195589,"grey",0
"79","LINC01578_containing",0.783228374522888,"yellow",4
"80","ENSSTOG00000032827",0.761614584937063,"yellow",4
"81","ENSSTOG00000032941",0.635033518450224,"yellow",4
"82","Metazoa_SRP_ENSSTOG00000032958",0.428280729177926,"green",5
"83","ENSSTOG00000032973",-0.218290869188205,"grey",0
"84","GNAS_ENSSTOG00000033348",0.647493816004094,"brown",3
"85","ENSSTOG00000033366",-0.0953122562435674,"grey",0
"86","ENSSTOG00000033872",0.728176815655723,"red",6
"87","TRAK1_like_ENSSTOG00000033928",-0.0417347396569492,"grey",0
"88","ENSSTOG00000034050",0.673990840985256,"turquoise",1
"89","SPATA13_like",0.607037917971433,"turquoise",1
"90","ENSSTOG00000034585",0.565751323872244,"yellow",4
"91","FAM89B_like",0.716912140197347,"black",7
"92","LINC00634",0.452144777096652,"yellow",4
"93","G10018",0.116771268187928,"grey",0
"94","G10028",0.720656813734954,"grey",0
"95","CCNI_like",0.592036790597363,"midnightblue",15
"96","G10161",0.709169691708412,"pink",8
"97","G10206",0.46245141897233,"turquoise",1
"98","G10245",0.662534091537904,"darkgrey",24
"99","G10270",0.105202174049499,"grey",0
"100","ADIPOR1_G1038",0.257744287836341,"grey",0
"101","G10410",-0.102070246783708,"grey",0
"102","ZNF518B_containing",0.506112057347507,"turquoise",1
"103","G10649",0.506112057347507,"turquoise",1
"104","G1065",0.521732768527771,"green",5
"105","G10744",0.76765754632349,"purple",10
"106","RPL21_G1075",0.802778153837683,"yellow",4
"107","G10765",0.631090285397291,"grey",0
"108","G10810",0.620961960159051,"turquoise",1
"109","AUTS2_G10872",0.371099784599271,"grey",0
"110","G10887",0.275996024120249,"grey",0
"111","HNRNPC",0.407567525950635,"black",7
"112","MIR4453HG_containing_G11250",0.783676348945396,"turquoise",1
"113","ABHD3_like",0.432981959082351,"grey",0
"114","TMEM184C_G11404",0.213830167068121,"grey",0
"115","PGRMC2_like_G11440",0.67566653418236,"darkred",21
"116","KCNA6_G11483",0.661365270341525,"turquoise",1
"117","G11535",0.495938598360756,"darkgrey",24
"118","G11647",0.663609560513669,"yellow",4
"119","ZNF415_containing",0.575319019733619,"black",7
"120","ZNF83_containing_G11891",0.849843910864317,"turquoise",1
"121","G11897",0.630178415525505,"darkgreen",22
"122","FXYD7",0.581552629214123,"black",7
"123","FTH1_G11993",0.658426409619061,"greenyellow",11
"124","MORF4L1_G12041",0.640067048351426,"yellow",4
"125","G1232",-0.345194535066577,"grey",0
"126","G12328",0.762920300060768,"yellow",4
"127","G12596",-0.133808255489338,"grey",0
"128","G12601",0.625814564423791,"yellow",4
"129","G12628",0.791266740704279,"yellow",4
"130","G1274",0.767615007526802,"black",7
"131","SYT3",0.793649587836095,"darkorange",26
"132","G12914",0.50959818259243,"green",5
"133","G12941",0.463420935296437,"grey",0
"134","G12968",0.729919149726728,"black",7
"135","G13022",0.766313728759264,"purple",10
"136","MAF",0.580313313134278,"skyblue",28
"137","MAF_containing",0.537127644201483,"brown",3
"138","G13329",0.813561658079981,"turquoise",1
"139","RPS12",0.739132198040251,"yellow",4
"140","GOT2_G13506",0.682591441315532,"yellow",4
"141","MIR138-2_containing",0.721152192713168,"turquoise",1
"142","G136",0.576939654094596,"turquoise",1
"143","G1366",0.783571694923656,"greenyellow",11
"144","WSB2",0.806278636799924,"greenyellow",11
"145","G13788",0.876511956688087,"lightgreen",18
"146","STMN4",-0.113299939269309,"grey",0
"147","G14132",0.511485597835759,"blue",2
"148","GOT2_G14137",0.427818839107443,"blue",2
"149","GOT2_G14138",0.464179518396972,"brown",3
"150","TIPARP_like",0.681990033321884,"magenta",9
"151","G1437",0.659506421068689,"turquoise",1
"152","G14634",0.5456771541381,"purple",10
"153","ZNF717_containing_G1466",0.427262890450026,"turquoise",1
"154","G14839",0.677085922118557,"yellow",4
"155","G14852",0.759102210936549,"blue",2
"156","G14950",0.906163402381251,"turquoise",1
"157","G14983",0.486418999183895,"brown",3
"158","G14984",0.479007827539155,"yellow",4
"159","KBTBD8_containing",0.60631227723766,"green",5
"160","G15113",0.60631227723766,"green",5
"161","FRMD4B_like",-0.356348749330435,"grey",0
"162","G15124",0.756935440187437,"yellow",4
"163","FAM19A1_containing",-0.0445381242264152,"grey",0
"164","G15132",0.734396343658358,"blue",2
"165","G15142",0.539561867115221,"turquoise",1
"166","EOGT_containing",0.345677002231653,"yellow",4
"167","MITF_like_G15154",0.149894406705851,"grey",0
"168","PPP4R2_G15164",0.700987222012738,"turquoise",1
"169","RYBP_like",0.889641642631452,"turquoise",1
"170","CRIPT",0.632983644282956,"yellow",4
"171","G15172",0.745241747560237,"yellow",4
"172","GPR27_containing",0.628969884986496,"darkorange",26
"173","PDZRN3_like",0.450588314487113,"red",6
"174","SHQ1_like",0.826614045211136,"blue",2
"175","STMN4_like_G15263",-0.0173587035726169,"grey",0
"176","EIF4E3",0.454335919282741,"red",6
"177","EIF4E3_containing",0.49707484433007,"blue",2
"178","G15302",0.49707484433007,"blue",2
"179","G15443",0.579489597312266,"blue",2
"180","G15624",0.541636819662595,"turquoise",1
"181","G15675",0.69534071976235,"black",7
"182","G15748",0.761146036461668,"lightgreen",18
"183","COPG2IT1_containing",0.260577294505896,"grey",0
"184","CDK14_like",0.809564587611621,"royalblue",20
"185","G16353",0.822672203338182,"turquoise",1
"186","G16444",0.931369985891571,"turquoise",1
"187","MAGI2_G16473",0.913551491905924,"greenyellow",11
"188","PNPLA8_containing",0.834954652553573,"darkgrey",24
"189","G16591",0.546877279176029,"lightcyan",16
"190","SCRN1_G16600",0.653302563670128,"brown",3
"191","SCRN1_containing",0.386520940048716,"yellow",4
"192","G16730",0.431663219107289,"brown",3
"193","G17052",0.520770862972704,"grey",0
"194","MTMR3_like",0.71650329495339,"green",5
"195","EPS15_like",0.785489097766322,"greenyellow",11
"196","G17358",0.568213592333418,"brown",3
"197","AACSP1_containing",0.815291688375958,"turquoise",1
"198","G17390",0.778151290798734,"darkturquoise",23
"199","PTMA_G17509",0.465748839399209,"yellow",4
"200","G17612",0.728234442952966,"yellow",4
"201","G17766",0.548998271450537,"blue",2
"202","G17788",0.592919433822892,"green",5
"203","G17952",0.589473816114141,"blue",2
"204","PRICKLE2_containing",0.823283011248236,"brown",3
"205","G18429",0.159575212672584,"grey",0
"206","G18437",-0.409156671167076,"grey",0
"207","DYNC1LI1_like",0.666633419548965,"yellow",4
"208","G18565",-0.402151052836999,"grey",0
"209","G18650",0.938683613632768,"turquoise",1
"210","G18683",0.576495027790627,"green",5
"211","G18840",0.559563052140843,"green",5
"212","G18849",0.712296007910586,"black",7
"213","CACNA1A_G19039",0.651938963296225,"greenyellow",11
"214","BZW1_G19170",0.422224235279506,"blue",2
"215","G19271",0.449009554379467,"turquoise",1
"216","TNS1_G19812",0.44619968467644,"yellow",4
"217","G20184",0.653730308978059,"red",6
"218","G20363",0.603228114172471,"pink",8
"219","MALAT1_G20666",0.699083872373093,"lightgreen",18
"220","G20677",0.168121029394605,"grey",0
"221","PLA2G16",0.747743360350784,"darkgreen",22
"222","G20797",0.586707169149028,"yellow",4
"223","G21460",0.522521285036248,"midnightblue",15
"224","G21554",0.575618518779431,"grey",0
"225","G21559",0.523435121245262,"green",5
"226","HCG11_G21563",0.623652607881498,"brown",3
"227","G21563",0.623652607881498,"brown",3
"228","AMOTL1_like",0.6814372278332,"brown",3
"229","BTF3_G22095",0.660164298755915,"yellow",4
"230","PCNP_G22272",0.638816958198675,"darkturquoise",23
"231","G22451",0.688560419588621,"green",5
"232","ZFAND5_like_G22457",0.637990137196506,"white",27
"233","G22494",0.683751966371879,"tan",12
"234","PCNP_G22535",0.555195412120976,"yellow",4
