"","topcorgene","module_color","module_n","module_genes","membership"
"1","Gpm6a","grey",0,NA,0.860540560668509
"2","Oxct1","grey",0,NA,0.820967595270596
"3","HCG11_G36502","grey",0,NA,0.806988498791866
"4","Ube2q2","grey",0,NA,0.779776340831017
"5","Gabrg1","grey",0,NA,0.761257201173988
"6","Atp2c1","grey",0,NA,0.744215323861987
"7","Kcnip4","grey",0,NA,0.736164976092517
"8","Nbea","grey",0,NA,0.736022662212378
"9","Adam9","grey",0,NA,0.728795507577056
"10","G10028","grey",0,NA,0.720656813734954
"11","Gria3","grey",0,NA,0.711994538226235
"12","Ogfrl1","grey",0,NA,0.706425950168169
"13","SPOCK3_like","grey",0,NA,0.696261969316563
"14","Umad1","grey",0,NA,0.691113749899793
"15","Mme","grey",0,NA,0.682311623324047
"16","Dzip1","grey",0,NA,0.682120198601315
"17","St7l","grey",0,NA,0.664752513693562
"18","Npepps","grey",0,NA,0.661339914677145
"19","Vps33a","grey",0,NA,0.652263290409031
"20","Arsk","grey",0,NA,0.650801278348122
"21","Tjp1","turquoise",1,2202,0.966325130959017
"22","Cep350","turquoise",1,2202,0.964094601712213
"23","Fbxo30","turquoise",1,2202,0.959804690103988
"24","Mphosph9","turquoise",1,2202,0.955266854575307
"25","Znf507","turquoise",1,2202,0.951426432976529
"26","Zfp3","turquoise",1,2202,0.951358139866391
"27","Usp37","turquoise",1,2202,0.950897079219635
"28","Znf197","turquoise",1,2202,0.947574060063559
"29","Zkscan8","turquoise",1,2202,0.946221729542502
"30","Tet2","turquoise",1,2202,0.945795632565268
"31","Fubp1","turquoise",1,2202,0.944136579578103
"32","Kdm5a","turquoise",1,2202,0.943269788890843
"33","Emsy","turquoise",1,2202,0.941777601176601
"34","Znf445","turquoise",1,2202,0.939129630903005
"35","Cpm","turquoise",1,2202,0.93890319038277
"36","G18650","turquoise",1,2202,0.938683613632768
"37","Scaf11","turquoise",1,2202,0.9381643794925
"38","Srsf10","turquoise",1,2202,0.938084644411597
"39","Rbl2","turquoise",1,2202,0.936311989597101
"40","Znf644","turquoise",1,2202,0.936267044743037
"41","Psmd8","blue",2,1635,0.971384882670069
"42","Atp5c1","blue",2,1635,0.966200831353962
"43","Mdh2","blue",2,1635,0.96122240268331
"44","Tmem9","blue",2,1635,0.957335134113698
"45","Psmb6","blue",2,1635,0.952767985242294
"46","Psmd13","blue",2,1635,0.947739799936018
"47","Ssu72","blue",2,1635,0.947323899584584
"48","Phb2","blue",2,1635,0.945775987988487
"49","Idh3b","blue",2,1635,0.945625709639691
"50","Atp6v0d1","blue",2,1635,0.94356816661416
"51","Atp5g3","blue",2,1635,0.943404151246634
"52","Ndufa10","blue",2,1635,0.942819175684671
"53","Mrps7","blue",2,1635,0.940748060670213
"54","Slc25a4","blue",2,1635,0.93636857912008
"55","Arf1","blue",2,1635,0.93077344586024
"56","Cdc37","blue",2,1635,0.930580810361289
"57","Cops8","blue",2,1635,0.929370728145822
"58","Kars","blue",2,1635,0.929191602137926
"59","Arpc4","blue",2,1635,0.928147630238871
"60","Eif3l","blue",2,1635,0.927362837610773
"61","Myo5a","brown",3,1169,0.96844323754054
"62","Scamp1","brown",3,1169,0.967962652021206
"63","Plcxd3","brown",3,1169,0.959335011475
"64","Slc6a5","brown",3,1169,0.957893146707131
"65","Slc9a7","brown",3,1169,0.955564151052819
"66","Prkci","brown",3,1169,0.954780363860084
"67","Slc24a2","brown",3,1169,0.95472538933597
"68","Gpr158","brown",3,1169,0.950939934972328
"69","Znf540","brown",3,1169,0.949794772823795
"70","Ralgapb","brown",3,1169,0.948292114940212
"71","Cdk14","brown",3,1169,0.944147513912347
"72","G3bp2","brown",3,1169,0.943832197969739
"73","Mapk6","brown",3,1169,0.942430563393797
"74","Slc4a8","brown",3,1169,0.937367487169939
"75","Bcat1","brown",3,1169,0.934649915800105
"76","Wdr7","brown",3,1169,0.934526216361899
"77","Nrip3","brown",3,1169,0.933644374603326
"78","Gsk3b","brown",3,1169,0.933000608067103
"79","Frrs1l","brown",3,1169,0.932203267157392
"80","Ube3a","brown",3,1169,0.931427428817435
"81","Rps10","yellow",4,984,0.948727306261721
"82","Chmp2a","yellow",4,984,0.93666384692452
"83","Rpl13","yellow",4,984,0.934127235387697
"84","Rpl38","yellow",4,984,0.933995003792456
"85","Rps21","yellow",4,984,0.931396901973863
"86","Ndufa1","yellow",4,984,0.929960539891378
"87","Rpl27","yellow",4,984,0.927935353286767
"88","Pfdn1","yellow",4,984,0.927087411763517
"89","RPL5_gene21166","yellow",4,984,0.920198598189389
"90","Naca","yellow",4,984,0.920052824311047
"91","Rps14","yellow",4,984,0.919565857830644
"92","Rplp1","yellow",4,984,0.918937768341289
"93","Atp5h","yellow",4,984,0.917488201620219
"94","Mrpl23","yellow",4,984,0.916476643427603
"95","Rpl35","yellow",4,984,0.914505224942658
"96","Park7","yellow",4,984,0.914423561421818
"97","Rps11","yellow",4,984,0.914048526695713
"98","Ndufb9","yellow",4,984,0.913390383996654
"99","Rps16","yellow",4,984,0.912480154924292
"100","COX4I1_like","yellow",4,984,0.911070433340951
"101","Eln","green",5,556,0.950392996008801
"102","Mlc1","green",5,556,0.942287000552757
"103","Slc6a9","green",5,556,0.940457712393958
"104","Actn4","green",5,556,0.925913293498281
"105","Plekhm2","green",5,556,0.922317791312901
"106","Aldh1l1","green",5,556,0.920365045224582
"107","Ssc5d","green",5,556,0.914819859840758
"108","Wnk4","green",5,556,0.912103198059997
"109","Arap1","green",5,556,0.903312513817465
"110","Znf692","green",5,556,0.901106134827327
"111","Pea15","green",5,556,0.898755306934866
"112","Paqr6","green",5,556,0.891985441287221
"113","Slc44a2","green",5,556,0.890954188066953
"114","Map3k6","green",5,556,0.888124152877867
"115","Tppp3","green",5,556,0.88808217650237
"116","Col16a1","green",5,556,0.885749816176133
"117","LOC101958269","green",5,556,0.885186023320933
"118","Def8","green",5,556,0.88489647216899
"119","Colca2","green",5,556,0.883208704533341
"120","Pltp","green",5,556,0.878652412976779
"121","Rora","red",6,424,0.930105044731636
"122","Cntn1","red",6,424,0.925062711846206
"123","Son","red",6,424,0.918700505793186
"124","Mysm1","red",6,424,0.913566935954684
"125","Rasal2","red",6,424,0.912675508779871
"126","Mdm4","red",6,424,0.907753438597204
"127","Dennd4c","red",6,424,0.901727658502042
"128","Prrc2c","red",6,424,0.899978666104227
"129","Arhgef12","red",6,424,0.899560359363759
"130","Mon2","red",6,424,0.898335406432812
"131","Sesn3","red",6,424,0.896193235354349
"132","Qki","red",6,424,0.893761684386805
"133","Dennd4a","red",6,424,0.89224979901233
"134","Pbrm1","red",6,424,0.888671701459483
"135","ZFYVE16","red",6,424,0.888071992772761
"136","Fbxl20","red",6,424,0.887927499623017
"137","Apc","red",6,424,0.884358968741932
"138","Spag9","red",6,424,0.8813285804823
"139","Atrx","red",6,424,0.87814766548003
"140","Znf483","red",6,424,0.876356132555756
"141","Lzts2","black",7,416,0.918359286345326
"142","H2AFX_containing","black",7,416,0.902904119155296
"143","G9083","black",7,416,0.887527655013993
"144","Samd1","black",7,416,0.881398480710192
"145","Sirt6","black",7,416,0.879775427671687
"146","Ak2","black",7,416,0.87748933606021
"147","Rcc1l","black",7,416,0.876534885981593
"148","Phc2","black",7,416,0.876446463576543
"149","Dtx2","black",7,416,0.869662606938448
"150","Znf771","black",7,416,0.862906713468816
"151","Fiz1","black",7,416,0.86229143970008
"152","POU3F3","black",7,416,0.861032112694315
"153","G8876","black",7,416,0.861032112694315
"154","LOC106145130","black",7,416,0.860910585072707
"155","Srsf4","black",7,416,0.860162495583339
"156","Hnrnpm","black",7,416,0.858948384008614
"157","Mafb","black",7,416,0.85424124669129
"158","Atg4d","black",7,416,0.854164882090856
"159","Tbc1d10b","black",7,416,0.853958482124917
"160","Ubox5","black",7,416,0.852417248950541
"161","Sppl2b","pink",8,307,0.912575470738981
"162","Cep131","pink",8,307,0.902606923656636
"163","Mtss1l","pink",8,307,0.895027310561183
"164","Leng8","pink",8,307,0.890058128856596
"165","Abcc10","pink",8,307,0.887799617649242
"166","Cul9","pink",8,307,0.883541946980617
"167","Pnpla7","pink",8,307,0.882564087021559
"168","Speg","pink",8,307,0.881842075554811
"169","Cacna1c","pink",8,307,0.879700115399894
"170","Adam15","pink",8,307,0.874709170392573
"171","Mink1","pink",8,307,0.87467159328072
"172","Srcin1","pink",8,307,0.874460541477313
"173","Ift172","pink",8,307,0.870315825851124
"174","Abca2","pink",8,307,0.868937345934576
"175","Tns2","pink",8,307,0.866512548786309
"176","Phc1","pink",8,307,0.866309862547373
"177","Ryr1","pink",8,307,0.864287783977731
"178","Pla2g6","pink",8,307,0.864159791543078
"179","Idua","pink",8,307,0.862075558107988
"180","Coro6","pink",8,307,0.85820914857541
"181","Tmem59l","magenta",9,300,0.957545956460557
"182","Aldoa","magenta",9,300,0.945126426696815
"183","Rogdi","magenta",9,300,0.944248733773756
"184","Atp6v0c","magenta",9,300,0.93753078733714
"185","Grina","magenta",9,300,0.934097139270577
"186","Caly","magenta",9,300,0.927749955614445
"187","Tmem179","magenta",9,300,0.924951482785495
"188","Fkbp8","magenta",9,300,0.923920094808731
"189","Olfm2","magenta",9,300,0.909016823099055
"190","Ache","magenta",9,300,0.902502308562098
"191","Sncb","magenta",9,300,0.900292059920795
"192","Acot7","magenta",9,300,0.899544022914065
"193","Mtch1","magenta",9,300,0.890043414072559
"194","LOC106145267","magenta",9,300,0.888979661474787
"195","Rhbdd2","magenta",9,300,0.885632899288219
"196","Npdc1","magenta",9,300,0.883449781828668
"197","Gsk3a","magenta",9,300,0.882841893760494
"198","Rab11b","magenta",9,300,0.881472816385608
"199","Hspbp1","magenta",9,300,0.876720594564633
"200","Hmga1","magenta",9,300,0.875729130579623
"201","Numa1","purple",10,266,0.926059276355272
"202","Prdm15","purple",10,266,0.923640305885024
"203","Znf236","purple",10,266,0.91121431069205
"204","Dennd4b","purple",10,266,0.908777845867599
"205","Atf7","purple",10,266,0.904594825110864
"206","Cep164","purple",10,266,0.887420542812646
"207","Kif21b","purple",10,266,0.88497425732076
"208","Adcy6","purple",10,266,0.883625137566413
"209","Mbd6","purple",10,266,0.883612193147437
"210","Taf4","purple",10,266,0.883466976552382
"211","Bcl9","purple",10,266,0.880602669840073
"212","LOC110599274","purple",10,266,0.879345557479147
"213","Radil","purple",10,266,0.874921908489805
"214","Gtf3c2","purple",10,266,0.874451877182405
"215","Pex6","purple",10,266,0.869706388224733
"216","Proser3","purple",10,266,0.867888559994509
"217","LOC106145166","purple",10,266,0.866056228754268
"218","Kmt2d","purple",10,266,0.863248557929481
"219","Ptch2","purple",10,266,0.861226809340976
"220","G32348","purple",10,266,0.857991151911258
"221","Tmsb10","greenyellow",11,216,0.965122630043564
"222","Rpl34","greenyellow",11,216,0.925740530104855
"223","Rpl23a","greenyellow",11,216,0.92093268152279
"224","Rpl5","greenyellow",11,216,0.914991509149404
"225","MAGI2_G16473","greenyellow",11,216,0.913551491905924
"226","Pmvk","greenyellow",11,216,0.893888775996193
"227","Rpl35a","greenyellow",11,216,0.892829225922521
"228","Nudc","greenyellow",11,216,0.887358217445073
"229","Rps9","greenyellow",11,216,0.885759812099536
"230","Fkbp2","greenyellow",11,216,0.881631876224955
"231","Esd","greenyellow",11,216,0.86521357149407
"232","Dtnbp1","greenyellow",11,216,0.860989460986892
"233","Cops9","greenyellow",11,216,0.860462032032708
"234","Mageh1","greenyellow",11,216,0.855861345547654
"235","Mrpl49","greenyellow",11,216,0.85501140250851
"236","Ppia","greenyellow",11,216,0.854794997614227
"237","Fis1","greenyellow",11,216,0.853834880545951
"238","Rps29","greenyellow",11,216,0.852278190409338
"239","Mturn","greenyellow",11,216,0.851882924018819
"240","Cuedc2","greenyellow",11,216,0.846926120101695
"241","Slc4a5","tan",12,168,0.976003941173107
"242","Kcnj13","tan",12,168,0.971268213480778
"243","Kl","tan",12,168,0.967706449778411
"244","Enpp2","tan",12,168,0.965649033199728
"245","St6galnac2","tan",12,168,0.965257286163316
"246","Cgnl1","tan",12,168,0.957309649120193
"247","Strip2","tan",12,168,0.952184172784669
"248","Sulf1","tan",12,168,0.949607522219502
"249","Slc4a2","tan",12,168,0.949324202435821
"250","Serpinf1","tan",12,168,0.946684840763416
"251","Sfrp1","tan",12,168,0.946620242286237
"252","Focad","tan",12,168,0.945924400068681
