unique_gene_symbol,cluster_liv,cluster_fb,cluster_hy,cluster_med,liv_LRT_padj,gro_LRT_padj,gropro_LRT_padj,fb_LRT_padj,hy_LRT_padj,med_LRT_padj,adr_LRT_padj,kid_LRT_padj,gene_id,source,orf_len,micropeptide_pred,micropeptide_homology,exons,rna_len,transcript_id,novel,min_padj,domains,br_expr,edited,majiq_directed
CYSTM1,Unassigned,insig,Winter_high,insig,1.142676377508134e-4,8.034152353200492e-5,0.7628918059643721,0.14064387866263514,2.0888276930606343e-4,0.03135108015714173,0.009175764383373131,0.3427220116470714,ENSSTOG00000001912,reference,98,FALSE,NA,3,1205,ENSSTOT00000001903,0,8.034152353200492e-5,0,1,FALSE,0
RNaseP_nuc_ENSSTOG00000018579,Cold_high_EL,filtered,filtered,insig,7.11807380828883e-105,NA,NA,NA,NA,0.33572031411852543,NA,1.3954377675141505e-74,ENSSTOG00000018579,reference,52,FALSE,NA,1,336,ENSSTOT00000018582,0,7.11807380828883e-105,0,1,FALSE,0
CD82_like,Winter_high,filtered,Winter_high,Winter_high,7.961521206328069e-6,NA,NA,NA,8.535240437915015e-12,8.771966753710864e-5,0.2467372375307567,0.07786909736415742,ENSSTOG00000023731,human_blastn,180,FALSE,NA,5,740,ENSSTOT00000029066,0,8.535240437915015e-12,1,1,FALSE,0
DAP_containing,Cold_high_EH,insig,insig,insig,6.896318364884212e-8,NA,NA,0.23468849458115382,0.1273120653686091,0.04692083322611,0.00576398441580412,6.444012274214063e-5,ENSSTOG00000024493,human_blastn,123,TRUE,NA,1,2107,TU5636,0,6.896318364884212e-8,0,1,FALSE,1
ENSSTOG00000028474,Winter_low,filtered,filtered,filtered,5.8413022837292075e-6,0.3242457784667419,0.5937403243492917,NA,NA,NA,NA,NA,ENSSTOG00000028474,reference,191,FALSE,NA,2,861,ENSSTOT00000019506,0,5.8413022837292075e-6,0,1,FALSE,0
HNRNPA0,Cold_high_EM,filtered,insig,insig,9.876693352938791e-9,NA,NA,NA,0.3936674425931797,0.38460193692150896,3.3015383239069303e-6,0.3599407732453007,ENSSTOG00000028543,reference,289,FALSE,NA,1,870,ENSSTOT00000022047,0,9.876693352938791e-9,0,1,FALSE,0
ENSSTOG00000029344,Cold_high_EL,filtered,filtered,filtered,4.103106798736316e-5,NA,NA,NA,NA,NA,9.105763628135443e-7,NA,ENSSTOG00000029344,reference,122,TRUE,NA,2,962,ENSSTOT00000043286,0,9.105763628135443e-7,0,1,FALSE,0
ENSSTOG00000029359,Winter_low,insig,insig,insig,2.1663279991822993e-11,NA,NA,0.10798960077632591,0.3625744323402394,0.0033945979598349503,0.06376216442724848,0.004553514402890698,ENSSTOG00000029359,reference,63,TRUE,NA,1,515,TU31566,0,2.1663279991822993e-11,0,1,FALSE,1
ENSSTOG00000029444,Winter_low,filtered,filtered,filtered,1.5389613903778693e-19,NA,NA,NA,NA,NA,NA,0.5954875038149029,ENSSTOG00000029444,reference,82,TRUE,NA,4,430,TU68890,0,1.5389613903778693e-19,0,1,FALSE,1
ENSSTOG00000029786,Cold_high_EH,filtered,filtered,filtered,2.7345619884932538e-6,1.5751815363427657e-4,0.00425746444353222,NA,NA,NA,NA,NA,ENSSTOG00000029786,reference,64,FALSE,NA,4,385,TU17508,0,2.7345619884932538e-6,0,1,FALSE,1
ENSSTOG00000029805,Winter_low,filtered,filtered,filtered,5.302409126785497e-4,NA,NA,NA,NA,NA,NA,NA,ENSSTOG00000029805,reference,87,FALSE,NA,2,2543,ENSSTOT00000036454,0,5.302409126785497e-4,0,1,FALSE,0
uc_338_ENSSTOG00000030949,Winter_low,filtered,filtered,filtered,1.3449849990738342e-12,NA,NA,NA,NA,NA,NA,NA,ENSSTOG00000030949,reference,499,TRUE,NA,12,2325,TU2655,0,1.3449849990738342e-12,0,1,FALSE,1
PHYH_containing_ENSSTOG00000031003,Cold_high_EH,insig,insig,insig,1.3646572494905192e-5,3.1089222559285895e-11,1.1911975912309153e-6,0.0019504302751789868,0.0022139016643884938,0.024162567319766657,0.5674814457207493,0.5276905539345758,ENSSTOG00000031003,human_blastn,21,TRUE,NA,2,332,TU65298,0,3.1089222559285895e-11,0,1,FALSE,1
ENSSTOG00000031113,Winter_low,filtered,filtered,filtered,8.863130999517497e-4,NA,NA,NA,NA,NA,0.05923829962248915,NA,ENSSTOG00000031113,reference,84,TRUE,NA,2,372,TU10145,0,8.863130999517497e-4,0,1,FALSE,1
ABCF1_containing,Winter_low,insig,Winter_low,Cold_low_EH,3.280931981224031e-20,NA,NA,0.10905280477095557,7.420436750309193e-8,1.865953201716888e-9,6.704817231832225e-14,2.946060438790003e-5,ENSSTOG00000031280,human_blastn,740,TRUE,NA,5,2223,ENSSTOT00000032424,0,3.280931981224031e-20,1,1,FALSE,0
ENSSTOG00000031411,Cold_low_EM,Unassigned,Cold_low_EH,Cold_low_EH,1.21843648348985e-9,NA,NA,2.5315729609796776e-4,8.566443348357797e-12,1.4269813507053689e-18,7.281374921175287e-10,0.01750791417473012,ENSSTOG00000031411,reference,18,FALSE,NA,2,513,ENSSTOT00000031705,0,1.4269813507053689e-18,0,1,FALSE,0
LINC01578_containing,Cold_high_EH,Cold_high_EM,Cold_high_EL,insig,2.6037717197023633e-8,NA,NA,4.6122852801131473e-4,6.383706726591483e-6,0.044652412994419674,9.821180707851788e-7,0.04497580612232002,ENSSTOG00000032815,human_blastn,73,FALSE,NA,4,2068,ENSSTOT00000042618,0,2.6037717197023633e-8,0,1,TRUE,0
NEAT1_1_ENSSTOG00000033733,Unassigned,filtered,insig,filtered,7.300886529756891e-4,NA,NA,NA,0.09167697529776152,NA,0.4343908204294408,0.09663949012792192,ENSSTOG00000033733,reference,23,FALSE,NA,1,123,ENSSTOT00000039719,0,7.300886529756891e-4,0,1,FALSE,0
SMLR1_like,Cold_high_EH,filtered,filtered,filtered,6.022151365644786e-13,3.0986965250803683e-6,0.08742226079175189,NA,NA,NA,NA,0.4369764126098963,ENSSTOG00000033816,human_blastn,70,FALSE,NA,2,499,ENSSTOT00000036719,0,6.022151365644786e-13,1,1,FALSE,0
ENSSTOG00000033872,Cold_high_EM,insig,insig,insig,7.445069353690193e-5,NA,NA,0.4780163293681206,0.1028402053468329,0.49632572899010957,0.6012052680665827,0.16769935076832865,ENSSTOG00000033872,reference,40,TRUE,NA,2,246,ENSSTOT00000030533,0,7.445069353690193e-5,0,1,FALSE,0
TRAK1_like_ENSSTOG00000033928,Cold_low_EL,insig,insig,insig,8.389948416182613e-16,NA,NA,0.07119565304644965,0.04378195747413207,0.8737146963562696,0.011491738451058237,0.06428104755492543,ENSSTOG00000033928,human_blastn,88,FALSE,NA,2,2899,ENSSTOT00000036165,0,8.389948416182613e-16,0,1,FALSE,0
ENSSTOG00000034127,Winter_low,filtered,filtered,filtered,2.2984101716653002e-4,NA,NA,NA,NA,NA,0.8304380520152288,0.27266504972164185,ENSSTOG00000034127,reference,49,FALSE,NA,2,463,ENSSTOT00000032068,0,2.2984101716653002e-4,0,1,FALSE,0
ENSSTOG00000034585,Cold_high_EH,insig,insig,insig,1.046120385722757e-7,5.635985232729155e-5,0.45011849920007846,0.27284589137745,0.6443647622529164,0.04312914967635468,0.003788784433357242,0.020414956154398044,ENSSTOG00000034585,reference,156,FALSE,NA,5,622,ENSSTOT00000031932,0,1.046120385722757e-7,0,1,TRUE,0
ENSSTOG00000034836,Winter_low,filtered,filtered,filtered,5.397388581794162e-7,9.840349913039056e-31,0.1304471869329251,NA,NA,NA,NA,0.01556356109902002,ENSSTOG00000034836,reference,133,TRUE,NA,2,1222,ENSSTOT00000037062,0,9.840349913039056e-31,0,1,FALSE,0
G10045,SpD_Low,filtered,filtered,filtered,6.2812323372037605e-6,NA,NA,NA,NA,NA,NA,NA,G10045,reference,41,TRUE,NA,2,816,TU17187,1,6.2812323372037605e-6,0,1,FALSE,0
HSD17B11_G10065,Winter_low,filtered,filtered,filtered,5.4529481040275285e-6,NA,NA,NA,NA,NA,0.007770271309309992,0.19360402386918493,G10065,human_blastn,35,TRUE,NA,1,774,TU17215,1,5.4529481040275285e-6,0,1,FALSE,0
UGT2B7_like,Cold_low_EM,filtered,filtered,filtered,1.6060690170920525e-5,NA,NA,NA,NA,NA,NA,NA,G10284,human_blastn,87,TRUE,NA,2,492,TU17582,1,1.6060690170920525e-5,1,1,FALSE,0
G10335,Winter_low,filtered,filtered,filtered,1.4736261122245938e-5,NA,NA,NA,NA,NA,NA,NA,G10335,reference,49,FALSE,NA,1,308,TU17652,1,1.4736261122245938e-5,1,1,FALSE,0
G10377,Cold_high_EH,filtered,filtered,filtered,7.981202406291988e-14,NA,NA,NA,NA,NA,NA,NA,G10377,reference,44,TRUE,NA,2,1616,TU17720,1,7.981202406291988e-14,0,1,FALSE,0
G10673,SA_high,filtered,filtered,filtered,5.579212641989632e-4,NA,NA,NA,NA,NA,NA,NA,G10673,reference,84,TRUE,NA,1,3938,TU18174,1,5.579212641989632e-4,0,1,FALSE,0
PGRMC2_like_G11440,SpD_high,insig,Cold_low_EL,insig,5.673948267737083e-5,NA,NA,0.29199901334429745,1.0193932187773584e-8,0.03253827309259912,0.04952600645005714,0.3420274604454787,G11440,human_blastn,79,TRUE,NA,2,2338,TU19541,1,1.0193932187773584e-8,0,1,FALSE,0
LINC01163_containing,SA_high,filtered,filtered,filtered,1.111965134009453e-6,NA,NA,NA,NA,NA,NA,NA,G115,human_blastn,143,TRUE,NA,1,7310,TU162,1,1.111965134009453e-6,0,1,FALSE,0
G11880,Cold_high_EH,filtered,filtered,filtered,1.3694836096734202e-12,NA,NA,NA,NA,NA,NA,NA,G11880,reference,44,TRUE,NA,1,355,TU20425,1,1.3694836096734202e-12,0,1,FALSE,0
G12297,Cold_high_EH,filtered,filtered,filtered,9.231761967909886e-14,NA,NA,NA,NA,NA,NA,NA,G12297,reference,96,TRUE,NA,1,3663,TU21125,1,9.231761967909886e-14,0,1,FALSE,0
G12738,Winter_low,filtered,filtered,filtered,7.750996785939434e-6,NA,NA,NA,NA,NA,NA,0.6166608684859781,G12738,reference,63,TRUE,NA,2,898,TU21953,1,7.750996785939434e-6,1,1,FALSE,0
G12740,Winter_low,filtered,filtered,filtered,4.0150740182138075e-6,NA,NA,NA,NA,NA,NA,0.6215056611141649,G12740,reference,90,TRUE,NA,2,1124,TU21955,1,4.0150740182138075e-6,0,1,FALSE,0
G12752,Cold_low_EM,filtered,filtered,filtered,1.0611344391023858e-12,NA,NA,NA,NA,NA,NA,NA,G12752,reference,30,TRUE,NA,1,284,TU21970,1,1.0611344391023858e-12,0,1,FALSE,0
G12941,Winter_high,IBA_low,insig,insig,4.167625577736982e-6,NA,NA,4.348422852246242e-4,0.08840664558379326,0.2963504942972261,2.1264944444562917e-4,0.00812189169745082,G12941,reference,163,TRUE,NA,1,3968,TU22303,1,4.167625577736982e-6,0,1,TRUE,0
G13022,Cold_low_EM,Cold_low_EH,filtered,Winter_low,5.995894496062082e-20,0.0034662392514636957,0.7273014880156995,1.1433874507368803e-8,NA,3.7430227018761244e-7,NA,NA,G13022,reference,317,TRUE,NA,1,11079,TU22469,1,5.995894496062082e-20,0,1,FALSE,0
G13145,Winter_low,filtered,filtered,filtered,5.7287197783715074e-5,NA,NA,NA,NA,NA,3.2053870994311776e-6,NA,G13145,reference,189,TRUE,NA,2,4588,TU22692,1,3.2053870994311776e-6,0,1,FALSE,0
MAF,SA_high,insig,filtered,insig,4.569099259490831e-14,NA,NA,0.09120018466364685,NA,0.13201427556672915,2.742206131564584e-5,0.6284863685153439,G13224,human_blastn,65,TRUE,NA,1,1472,TU22812,1,4.569099259490831e-14,0,1,FALSE,0
G1366,Winter_low,insig,insig,insig,3.7174658363338584e-5,NA,NA,0.0041700203353555315,0.2986132435795647,0.049496312670907365,0.5637144221160255,0.23062035583056142,G1366,reference,95,TRUE,NA,2,768,TU2321,1,3.7174658363338584e-5,0,1,FALSE,0
GATA4_like,Cold_high_EM,filtered,filtered,filtered,1.0922896318649447e-8,NA,NA,NA,NA,NA,NA,NA,G13778,human_blastn,131,TRUE,NA,2,745,TU23741,1,1.0922896318649447e-8,0,1,FALSE,0
G14340,Unassigned,filtered,filtered,filtered,2.350541545754289e-4,NA,NA,NA,NA,NA,1.3038023049894394e-4,0.7707463728429955,G14340,reference,43,TRUE,NA,1,303,TU24658,1,1.3038023049894394e-4,0,1,FALSE,0
G1437,Cold_low_EL,Unassigned,Winter_low,insig,1.797837386515432e-4,NA,NA,2.6640718593645625e-4,6.683464563754143e-5,0.006788734795367816,0.25033803917774433,0.4626177307262561,G1437,reference,76,TRUE,NA,1,3899,TU2472,1,6.683464563754143e-5,0,1,FALSE,0
G14917,Winter_low,filtered,filtered,filtered,2.2996307604733065e-10,NA,NA,NA,NA,NA,NA,0.9093225631129365,G14917,reference,66,TRUE,NA,2,990,TU25542,1,2.2996307604733065e-10,0,1,FALSE,0
G14950,Cold_low_EL,Cold_low_EM,Cold_low_EM,Cold_low_EM,9.512113448184093e-11,NA,NA,4.395841176664534e-23,2.239903463773816e-84,2.2870547502948636e-65,2.1611473557661953e-17,9.769559717493437e-5,G14950,reference,57,TRUE,NA,1,5691,TU25593,1,2.239903463773816e-84,0,1,FALSE,0
G15081,Cold_high_EM,filtered,filtered,filtered,1.539005895247181e-6,8.841013242864386e-4,0.5424079101336858,NA,NA,NA,NA,NA,G15081,reference,286,TRUE,NA,3,9936,TU25847,1,1.539005895247181e-6,0,1,FALSE,0
TTC3_G15091,Winter_low,insig,insig,insig,8.119718971989525e-8,NA,NA,0.3146329306463843,0.2593673387921046,0.6690353511658679,NA,NA,G15091,squirrel_blastn,47,TRUE,NA,1,650,TU25863,1,8.119718971989525e-8,0,1,FALSE,0
G15101,Winter_low,filtered,filtered,filtered,6.079665582273943e-12,NA,NA,NA,NA,NA,NA,NA,G15101,reference,25,TRUE,NA,1,285,TU25882,1,6.079665582273943e-12,0,1,FALSE,0
FRMD4B_like,IBA_high,insig,insig,insig,1.322242453896379e-7,NA,NA,0.20476458994161942,0.7425158718277427,0.18669052274576034,0.4352252003252694,0.2275114475260448,G15119,human_blastn,684,TRUE,NA,12,3946,TU25906,1,1.322242453896379e-7,1,1,FALSE,0
EOGT_containing,Winter_high,insig,insig,insig,2.250678482208439e-7,NA,NA,0.0030118357404964047,0.6835136787830797,0.4522322677969427,0.17407024601867607,0.3630592596026219,G15145,human_blastn,113,TRUE,NA,3,3214,TU25951,1,2.250678482208439e-7,0,1,FALSE,0
PPP4R2_G15165,Cold_low_EM,insig,filtered,filtered,4.238861853959229e-8,NA,NA,0.00434115620900927,NA,NA,1.2582006841902385e-13,4.507019765255502e-15,G15165,human_blastn,28,TRUE,NA,1,717,TU25984,1,4.507019765255502e-15,0,1,FALSE,0
RYBP_like,Cold_low_EM,Cold_low_EL,Cold_low_EL,Cold_low_EM,6.80802589901417e-5,8.527223204590212e-4,0.6852667054828112,1.1959746991901388e-10,1.3358453383393092e-22,9.879521382996921e-22,0.1538951712293782,5.602023125011066e-5,G15167,human_blastn,133,TRUE,NA,4,4156,TU25988,1,1.3358453383393092e-22,0,1,FALSE,0
PDZRN3_like,Winter_low,insig,Cold_high_EM,insig,3.254667336181688e-17,9.060057946277651e-42,0.31182030243436754,0.09112621624596431,9.560958350548575e-7,0.1513166790115448,0.01469088892547621,0.6950121350847865,G15202,human_blastn,828,TRUE,NA,10,3383,TU26055,1,9.060057946277651e-42,1,1,FALSE,0
