gene_id,domain
ENSSTOG00000023745,1-cysPrx_C
ENSSTOG00000031314,14-3-3
ENSSTOG00000033517,14-3-3
ENSSTOG00000034107,2-Hacid_dh
ENSSTOG00000034107,2-Hacid_dh_C
gene3731,2-Hacid_dh_C
ENSSTOG00000024819,2OG-FeII_Oxy_2
gene13889,3HCDH
gene13889,3HCDH_N
G35397,3HCDH_N
ENSSTOG00000030242,40S_S4_C
ENSSTOG00000027669,40S_SA_C
ENSSTOG00000021226,40S_SA_C
ENSSTOG00000027978,40S_SA_C
gene1358,4HBT
gene479,5-nucleotidase
gene6185,5-nucleotidase
gene23313,5_nucleotid
ENSSTOG00000022167,60KD_IMP
gene15892,60KD_IMP
gene2163,7tm_1
gene12737,7tm_1
G3442,7tm_1
gene13387,7tm_1
gene15567,7tm_1
gene15565,7tm_1
gene15849,7tm_1
gene4765,7tm_1
gene4767,7tm_1
gene1230,7tm_1
gene12300,7tm_1
gene20114,7tm_1
gene21838,7tm_1
gene23856,7tm_1
gene25199,7tm_1
gene11841,7tm_1
G9112,7tm_1
gene4770,7tm_1
gene26159,7tm_1
gene20237,7tm_1
gene25851,7tm_1
gene26005,7tm_1
gene18709,7tm_1
gene24794,7tm_1
gene25265,7tm_1
gene25262,7tm_1
gene15721,7tm_1
gene13507,7tm_1
gene11625,7tm_1
gene23830,7tm_1
gene25268,7tm_1
gene21266,7tm_1
gene25261,7tm_1
gene23546,7tm_1
gene24906,7tm_1
G18969,7tm_1
ENSSTOG00000021418,7tm_1
gene22839,7tm_1
gene25900,7tm_1
gene24799,7tm_1
G34560,7tm_1
gene24877,7tm_1
gene24305,7tm_1
gene15015,7tm_1
ENSSTOG00000021815,7tm_1
gene24876,7tm_1
gene6761,7tm_1
gene24022,7tm_1
gene24930,7tm_1
gene24932,7tm_1
gene24785,7tm_1
gene24021,7tm_1
gene15022,7tm_1
gene19621,7tm_1
gene25266,7tm_1
gene23544,7tm_1
gene25497,7tm_1
gene12694,7tm_1
gene15767,7tm_1
gene25066,7tm_1
gene24774,7tm_1
gene16628,7tm_1
gene25454,7tm_1
gene24942,7tm_1
gene26054,7tm_1
gene25455,7tm_1
gene24309,7tm_1
gene21965,7tm_1
ENSSTOG00000030408,7tm_1
gene15415,7tm_1
gene19623,7tm_1
gene24913,7tm_1
gene26260,7tm_1
gene25269,7tm_1
gene24014,7tm_1
gene25375,7tm_1
G28225,7tm_1
gene24910,7tm_1
gene12735,7tm_1
gene24307,7tm_1
gene6760,7tm_1
ENSSTOG00000029041,7tm_1
gene25967,7tm_1
gene21975,7tm_1
gene8354,7tm_1
gene23991,7tm_1
gene4764,7tm_1
gene15754,7tm_1
